show_id,creator_id
1399,1
1399,2
71446,3
66732,4
66732,5
1402,6
63174,7
69050,8
93405,9
1396,10
71712,11
85271,12
60735,13
60735,14
60735,15
1418,16
1418,17
84958,18
1416,19
82856,20
456,21
85552,22
75006,23
60574,24
76669,25
76669,26
76479,27
60625,28
60625,29
18165,30
18165,31
88396,32
48866,33
119051,34
119051,35
1668,36
1668,37
1622,27
81356,38
44217,39
70523,40
70523,41
1408,11
77169,42
77169,43
77169,44
1412,13
1412,45
1412,15
87108,46
1413,47
1413,48
71912,49
12637,50
63247,51
63247,52
82883,53
82883,54
19885,55
19885,56
62286,57
62286,58
2288,59
37680,60
70785,61
42009,62
1100,63
1100,64
60059,65
60059,10
65334,66
105214,67
62560,68
12971,69
100088,46
100088,70
61889,71
62688,13
62688,72
62688,15
2004,73
1434,74
66788,75
2190,76
2190,77
87739,78
87739,79
34524,80
4604,34
4604,35
90462,81
90462,82
90462,53
60797,83
1405,84
1405,85
4607,86
4607,87
4607,88
246,89
246,90
2316,91
2316,92
2316,93
4057,80
94997,94
94997,95
2734,96
5920,97
46331,98
94605,99
94605,100
99966,101
99966,102
99966,103
79242,8
1403,104
1403,105
1403,106
80213,107
71886,108
71886,109
71886,110
60708,97
16286,111
46896,31
104877,112
1911,113
88329,114
48891,115
48891,116
39351,117
39351,118
39351,119
615,21
2691,16
2691,120
46952,121
86831,122
19614,123
78191,13
78191,124
46648,125
74577,126
44953,127
44953,128
44953,129
79460,31
387,130
4087,131
67335,132
57243,133
57243,134
57243,135
60866,136
60866,137
1409,138
67915,139
67915,140
40075,141
63351,142
63351,143
63351,144
75450,145
75450,13
75450,14
15260,146
69478,147
31917,148
1425,149
56570,150
92749,151
1421,152
1421,153
110492,154
62455,3
62455,155
62455,156
62455,157
62710,158
1398,159
60622,160
34307,161
34307,162
102903,163
102903,164
102903,165
113988,47
113988,166
115036,20
1424,167
84773,168
84773,169
67178,170
46296,171
58841,96
58841,172
62127,173
75219,47
75219,48
80752,24
1705,86
1705,174
1705,175
62643,13
62643,45
62643,176
62643,15
71728,16
71728,177
16997,178
40008,179
67744,180
61222,181
1981,182
38472,183
63639,184
63639,185
1892,186
1892,187
95057,13
95057,188
4614,189
4614,190
91239,191
1639,192
44006,193
44006,194
1407,195
1407,196
1407,197
69740,198
69740,199
45871,155
72844,200
39272,201
39272,202
52814,203
52814,204
11250,205
1438,206
90239,207
105,208
1433,74
1433,209
1433,210
1395,211
1395,212
35610,213
89641,214
33880,89
33880,90
1437,104
96677,215
96677,216
96677,217
96677,218
96677,219
92783,220
71914,221
65494,222
31132,223
1920,224
1920,225
73586,226
73586,227
4194,228
93741,229
2038,230
90802,231
90802,232
90802,233
63401,234
47,235
71915,232
77606,236
12926,237
1400,238
1400,239
90260,126
90260,240
110316,241
110316,242
68421,243
61550,244
61550,245
10545,246
45950,247
1419,248
47640,249
47640,250
693,251
62046,47
62046,166
62046,252
62046,48
16420,253
16420,254
45782,255
45782,256
62126,257
31356,258
100883,259
100883,260
4556,261
80743,262
97180,263
67198,174
67198,179
1606,264
42035,3
42035,155
85949,145
85949,174
85949,265
85949,266
32798,174
32798,175
32798,267
31251,230
95,104
64432,124
4686,268
4686,269
4686,270
4686,271
63333,272
1411,51
97186,273
97186,274
46298,275
71411,276
71411,277
71411,278
71411,279
71411,280
1415,281
1620,282
1620,283
1620,284
71740,285
18347,28
46786,250
46786,286
46786,287
46639,288
46639,179
112888,289
79744,290
61056,291
89247,292
62264,293
61664,294
61664,295
61664,296
75758,297
117581,298
2098,299
2098,300
86430,301
80240,302
92685,303
60573,304
60573,305
60573,306
39340,307
39340,308
58474,309
58474,310
60743,231
60743,311
4629,312
4629,313
72637,314
71789,315
76773,316
153312,227
69629,317
100834,318
100834,319
85723,320
1972,150
1972,321
2085,322
5371,230
1973,323
1973,324
90461,325
8358,326
66573,115
79696,327
67136,328
97175,329
87784,330
66292,331
655,332
84661,333
97546,334
97546,335
97546,261
97546,268
89456,336
52,337
52,338
52,339
8592,93
8592,115
37606,340
62285,341
62285,342
61923,343
73375,250
73375,344
67195,160
103768,345
1420,346
61617,347
71790,348
71790,349
79501,350
21510,351
85720,352
126280,353
128839,354
79788,87
58450,355
115857,356
115857,357
4589,358
47665,359
47665,360
96462,361
96462,362
2490,363
4616,364
4616,365
80968,142
80968,143
80968,144
54671,366
45815,367
82596,208
74016,368
74016,369
74016,370
4327,371
4327,372
79525,373
120168,374
54650,375
54650,376
2384,321
67070,377
253,332
4336,378
4336,379
56296,380
56296,381
76719,382
76719,383
76719,384
107113,385
107113,386
86423,250
86423,387
86423,388
72750,377
115004,389
87689,390
62017,391
1891,392
1891,393
1891,97
65708,394
65708,24
65708,395
71024,396
900,397
900,398
79680,399
79680,381
31268,400
13027,355
10283,401
604,402
604,403
17610,404
34967,405
5451,132
1431,282
1431,283
61175,406
90027,407
90027,408
18011,409
62823,410
62823,411
62823,412
124834,413
94305,414
94305,415
80986,14
61852,416
61852,230
63407,417
63407,418
63407,419
41727,420
41727,421
1104,422
31072,409
69061,423
69061,424
7842,425
7842,426
4574,427
4574,428
4574,429
66203,430
66203,314
73481,111
64230,431
64230,432
64230,433
90669,40
90669,41
62650,96
62650,172
2352,434
2352,435
105248,436
102966,437
86248,93
4658,438
4658,439
62914,440
81354,441
6040,442
6040,268
6040,269
6040,403
6040,270
6040,271
33217,443
33217,444
93740,231
71738,74
1778,230
68267,249
1215,7
605,445
60948,446
60948,447
2309,448
71578,449
89393,47
89393,450
89393,48
109958,200
79649,451
1044,452
1044,453
1044,454
74204,455
74204,456
74204,457
74204,458
125910,459
125910,460
125910,461
4313,462
74440,463
74440,464
74440,465
63109,466
2710,467
131927,468
92782,469
79240,470
79240,471
888,472
73021,21
50825,473
50825,174
50825,175
50825,474
92967,475
92967,476
92967,477
39852,478
91557,479
91557,480
1600,258
1621,481
18123,482
18123,483
18123,484
1426,485
63210,486
2290,312
2290,487
93812,488
1695,489
3763,490
3763,491
80350,492
4239,493
4239,494
897,495
1404,211
4500,496
4500,497
252,498
252,499
64513,500
64513,501
64513,502
64513,503
66276,504
66276,333
2317,505
1516,506
1516,507
1988,508
80169,509
82747,510
82747,511
61859,512
70593,513
83125,514
83125,515
54344,516
54344,87
33907,517
60802,518
60802,204
4630,448
14141,519
97513,520
97513,521
4586,522
14814,523
14814,524
64122,34
64122,35
83867,525
67133,267
89901,526
98387,527
98387,528
76331,529
2426,104
2426,119
95396,530
67026,531
67466,211
67466,212
72002,532
72002,212
72002,211
1274,246
7225,533
7225,534
7225,535
7225,536
1781,537
1781,538
607,539
66330,540
105971,541
32726,542
32726,543
537,544
127235,545
127235,546
71663,547
86374,548
65820,549
108978,83
1855,332
1855,550
1855,551
1855,552
96160,553
96160,554
95601,440
1996,425
1996,426
95403,555
83639,556
433,399
42573,557
42573,558
78722,559
78722,560
6357,561
46533,562
61418,563
2391,564
106651,565
106651,566
62852,567
62852,568
62852,569
34899,570
82104,571
82104,572
65294,573
65294,574
96713,146
96713,575
61888,576
113036,47
113036,48
85801,577
31295,548
31109,268
31109,269
31109,270
31109,271
43020,390
186,167
61345,578
61345,579
119243,230
74387,580
74387,581
48865,582
48865,583
46994,584
75191,585
62687,586
32692,587
32692,588
60957,589
60957,590
240,591
114472,592
82700,593
82700,594
82700,595
82700,596
82700,597
82700,598
12782,599
65988,600
68349,601
68349,602
68349,603
61593,604
61593,605
71365,150
4588,606
54155,512
56998,607
60554,545
60554,541
60554,608
2875,609
49010,610
110356,611
110356,612
4229,336
100757,613
100757,614
100757,615
3475,616
80748,96
80748,617
2129,618
2129,619
87623,620
87623,621
87623,622
80307,623
124364,624
1427,625
84200,299
84200,626
1877,627
1877,628
73107,629
73107,630
53425,631
2996,91
2996,92
62704,632
62425,633
62425,634
73411,635
73411,636
1660,637
61733,638
61733,639
1417,47
1417,166
1417,48
1406,640
81355,641
2673,211
70453,642
3854,643
3854,644
32754,645
32754,646
3498,647
88236,648
88236,649
76231,138
76231,650
79732,651
39358,652
314,653
314,551
65320,654
1423,655
1447,656
116135,657
2328,658
2328,659
580,332
580,550
580,551
9687,660
9687,661
67773,662
3452,663
3452,664
3452,665
79410,91
56295,666
97400,200
88055,667
46901,668
46901,669
46901,670
38693,671
38693,672
84977,673
84977,674
84977,675
111110,676
111110,677
57532,678
95269,679
606,680
2723,336
94280,406
34415,681
65555,682
68315,683
46028,490
95281,684
95281,685
2025,686
2025,208
45,687
45,688
45,689
13023,235
926,690
926,691
97727,692
97727,693
97727,141
97727,694
2660,695
2228,696
2228,697
70796,522
67116,698
67135,151
160,699
160,700
98123,701
66786,27
66786,349
82,697
2382,702
4482,703
83659,249
68734,129
1414,349
4546,239
3322,704
33623,705
33623,706
33623,707
21494,519
21494,708
67683,312
76747,709
76747,710
76747,711
93484,171
47450,34
47450,35
68878,712
90814,611
90814,713
4018,189
68716,173
3022,714
3022,715
3022,716
83851,331
69470,717
2458,282
2458,283
2458,284
86850,55
86850,56
86850,718
67557,687
67557,719
67557,720
67557,688
38974,721
2942,39
5148,312
5148,487
2207,722
2207,723
1436,724
112836,725
112836,553
112836,726
112836,727
4610,728
4610,729
4610,730
59427,268
59427,269
59427,270
59427,271
73777,731
80828,104
61611,732
18685,111
65495,733
104819,734
104819,735
104555,736
104555,737
82816,738
4345,739
44305,740
17572,741
4605,742
4605,743
62816,744
4608,745
197067,746
197067,747
111803,748
60694,749
1481,408
1481,708
66857,750
32351,751
32351,752
86382,753
86382,315
720,754
1422,755
1422,756
51817,699
51817,700
873,757
873,758
106541,49
106541,759
40293,231
652,760
42025,761
96580,762
15819,763
15819,764
136315,765
57911,766
1063,767
918,768
12777,769
12777,355
12777,770
11721,771
11721,772
33765,773
9160,774
111141,775
61389,776
61389,777
2046,86
117488,778
117488,779
85922,780
85922,93
48462,139
90282,781
4620,782
4620,783
106292,784
106292,785
94796,589
94796,786
15655,321
849,787
849,788
79141,789
4238,790
4238,791
66190,792
88640,211
88640,793
1558,794
1558,795
1558,796
12965,599
1432,136
87763,797
87763,798
87763,799
99581,800
99581,801
14929,802
2131,803
2131,804
2913,805
2913,806
62649,807
58981,808
7458,809
96777,810
96777,811
125988,724
83631,812
93785,813
93785,814
93785,815
6782,816
6782,817
62858,250
62858,95
62858,818
63764,819
4743,156
4743,520
4743,798
4743,799
2405,820
87527,821
32218,599
32218,669
2260,761
81046,822
81046,823
62822,824
62822,825
2122,304
2122,93
49011,16
49011,826
49011,827
67389,828
82809,829
15621,830
121,133
121,831
121,134
121,135
5835,832
79818,833
79818,834
79818,835
71715,836
83596,528
141,837
141,838
141,839
1126,840
1126,841
1126,842
71769,635
46928,843
45016,844
2140,845
2355,740
2355,846
62517,847
62517,848
62517,849
62517,850
75208,851
87917,150
87917,852
87917,853
15842,854
18197,123
71116,855
71116,856
63623,462
114501,857
114501,858
81349,859
99588,860
99588,861
99588,862
99588,863
99588,864
99588,865
91275,866
60726,698
77236,867
1435,868
1435,869
84647,870
194766,871
194766,872
86848,868
86848,869
136283,139
136283,873
79622,546
90447,874
90447,875
39269,19
35935,876
5739,104
5739,105
5739,877
5739,106
1428,878
99494,879
99494,880
85021,881
85021,882
2287,883
2287,884
66871,885
66871,886
79086,142
79086,887
36,888
210232,47
210232,166
44824,889
1940,890
60585,891
1410,27
73544,421
117023,3
117023,157
62699,892
61671,745
61671,893
93287,894
88052,895
88052,579
2327,30
2902,896
2902,897
66433,898
549,96
100412,899
33761,900
33761,901
79863,148
127865,902
127865,903
127865,904
127865,905
60858,192
92468,906
92468,907
3772,908
3772,909
4615,910
2224,911
2224,912
46511,913
114395,914
114395,915
116450,208
1777,490
1777,916
4271,917
197588,372
197588,918
42295,919
51019,920
88324,921
73467,78
3137,296
82282,922
15079,721
15079,742
15079,743
236,923
236,924
1615,925
1615,926
128883,927
128883,928
112314,929
79084,47
79084,48
79084,930
424,931
346,932
68073,933
93811,934
58539,599
58539,935
91977,936
45094,30
62413,937
16830,938
5687,939
5459,901
108296,940
71225,941
71225,942
71225,943
155537,944
66825,466
903,945
903,363
32962,946
2437,947
2437,948
2437,949
709,950
709,951
94810,146
94810,952
92916,953
51704,917
51704,954
51704,955
81357,956
19649,957
129552,349
1546,715
1546,958
111111,959
111111,960
60699,961
