date,date_id,year,month,day
2011-04-17,1,2011,4,17
2017-05-02,2,2017,5,2
2016-07-15,3,2016,7,15
2010-10-31,4,2010,10,31
2016-01-25,5,2016,1,25
2017-01-26,6,2017,1,26
2021-09-17,7,2021,9,17
2008-01-20,8,2008,1,20
2017-09-25,9,2017,9,25
2021-01-15,10,2021,1,15
2014-10-07,11,2014,10,7
2007-09-24,12,2007,9,24
2021-06-09,13,2021,6,9
2005-03-27,14,2005,3,27
2019-11-12,15,2019,11,12
1989-12-17,16,1989,12,17
2019-06-16,17,2019,6,16
2019-02-15,18,2019,2,15
2013-09-12,19,2013,9,12
2018-10-05,20,2018,10,5
2019-07-25,21,2019,7,25
2013-12-02,22,2013,12,2
2009-09-10,23,2009,9,10
2021-03-19,24,2021,3,19
2007-02-15,25,2007,2,15
2014-03-19,26,2014,3,19
2022-11-23,27,2022,11,23
1994-09-22,28,1994,9,22
2005-09-13,29,2005,9,13
2019-01-11,30,2019,1,11
2013-03-03,31,2013,3,3
2017-12-01,32,2017,12,1
2004-11-16,33,2004,11,16
2018-05-02,34,2018,5,2
2019-04-06,35,2019,4,6
2012-10-10,36,2012,10,10
2013-04-07,37,2013,4,7
2019-05-06,38,2019,5,6
2011-10-05,39,2011,10,5
2002-10-03,40,2002,10,3
2019-12-20,41,2019,12,20
2004-10-04,42,2004,10,4
2016-10-02,43,2016,10,2
2019-03-20,44,2019,3,20
2010-07-25,45,2010,7,25
2014-10-05,46,2014,10,5
2015-07-05,47,2015,7,5
2015-08-23,48,2015,8,23
2005-08-29,49,2005,8,29
2016-04-03,50,2016,4,3
2011-06-23,51,2011,6,23
2017-03-19,52,2017,3,19
2011-12-04,53,2011,12,4
2005-09-19,54,2005,9,19
2015-02-08,55,2015,2,8
2015-10-19,56,2015,10,19
2020-07-15,57,2020,7,15
2015-06-24,58,2015,6,24
1989-04-26,59,1989,4,26
2023-01-15,60,2023,1,15
1999-10-20,61,1999,10,20
2015-04-10,62,2015,4,10
2015-10-26,63,2015,10,26
2000-01-09,64,2000,1,9
1999-01-31,65,1999,1,31
2017-03-31,66,2017,3,31
1997-08-13,67,1997,8,13
2020-10-23,68,2020,10,23
2011-06-05,69,2011,6,5
2001-10-16,70,2001,10,16
2021-10-12,71,2021,10,12
2021-03-25,72,2021,3,25
2014-09-22,73,2014,9,22
2021-08-11,74,2021,8,11
2006-10-01,75,2006,10,1
2004-09-22,76,2004,9,22
2006-10-04,77,2006,10,4
2005-02-21,78,2005,2,21
2005-03-24,79,2005,3,24
2005-09-22,80,2005,9,22
2022-08-21,81,2022,8,21
1999-09-20,82,1999,9,20
2008-09-23,83,2008,9,23
2013-06-24,84,2013,6,24
2012-05-28,85,2012,5,28
2021-11-06,86,2021,11,6
2022-01-28,87,2022,1,28
2018-10-26,88,2018,10,26
2013-09-24,89,2013,9,24
2015-10-05,90,2015,10,5
2018-09-04,91,2018,9,4
2018-03-29,92,2018,3,29
1999-10-25,93,1999,10,25
2013-10-03,94,2013,10,3
2001-09-09,95,2001,9,9
2020-07-08,96,2020,7,8
2021-11-24,97,2021,11,24
2018-07-01,98,2018,7,1
2013-09-17,99,2013,9,17
2011-10-28,100,2011,10,28
1999-03-28,101,1999,3,28
2003-09-22,102,2003,9,22
2013-09-23,103,2013,9,23
2019-03-15,104,2019,3,15
1990-11-18,105,1990,11,18
2020-10-03,106,2020,10,3
1986-02-26,107,1986,2,26
2018-09-09,108,2018,9,9
2014-01-12,109,2014,1,12
2017-10-24,110,2017,10,24
2013-04-15,111,2013,4,15
2018-10-25,112,2018,10,25
1999-05-01,113,1999,5,1
1993-09-10,114,1993,9,10
2016-07-19,115,2016,7,19
2005-03-26,116,2005,3,26
2015-03-17,117,2015,3,17
2008-09-03,118,2008,9,3
2016-12-02,119,2016,12,2
2012-06-15,120,2012,6,15
2015-08-28,121,2015,8,28
2018-10-12,122,2018,10,12
2010-04-05,123,2010,4,5
2017-04-26,124,2017,4,26
2010-06-08,125,2010,6,8
2013-02-01,126,2013,2,1
2014-08-09,127,2014,8,9
2022-03-30,128,2022,3,30
2009-09-23,129,2009,9,23
2022-01-13,130,2022,1,13
2015-04-20,131,2015,4,20
2015-09-21,132,2015,9,21
2017-04-05,133,2017,4,5
1999-01-10,134,1999,1,10
2008-12-29,135,2008,12,29
2014-04-15,136,2014,4,15
2011-01-09,137,2011,1,9
2020-05-22,138,2020,5,22
2022-09-21,139,2022,9,21
2021-12-29,140,2021,12,29
2013-07-11,141,2013,7,11
2022-09-01,142,2022,9,1
2017-11-17,143,2017,11,17
2010-01-22,144,2010,1,22
2014-01-08,145,2014,1,8
2017-03-17,146,2017,3,17
2019-12-26,147,2019,12,26
2018-01-03,148,2018,1,3
2019-11-01,149,2019,11,1
2008-09-09,150,2008,9,9
2016-01-21,151,2016,1,21
2010-03-14,152,2010,3,14
2013-04-04,153,2013,4,4
2017-10-13,154,2017,10,13
2014-08-22,155,2014,8,22
2014-07-04,156,2014,7,4
1998-10-07,157,1998,10,7
2015-11-20,158,2015,11,20
2015-12-14,159,2015,12,14
1990-09-10,160,1990,9,10
2021-02-23,161,2021,2,23
2003-09-23,162,2003,9,23
2020-12-25,163,2020,12,25
2006-09-25,164,2006,9,25
2011-10-02,165,2011,10,2
2022-04-14,166,2022,4,14
2017-07-21,167,2017,7,21
2020-04-20,168,2020,4,20
2011-10-23,169,2011,10,23
2022-03-24,170,2022,3,24
2003-10-21,171,2003,10,21
2002-06-02,172,2002,6,2
2019-08-16,173,2019,8,16
1998-06-06,174,1998,6,6
2005-02-06,175,2005,2,6
2020-01-02,176,2020,1,2
2007-09-19,177,2007,9,19
2000-10-16,178,2000,10,16
2019-08-22,179,2019,8,22
2012-04-14,180,2012,4,14
2002-09-20,181,2002,9,20
2021-01-08,182,2021,1,8
2022-08-18,183,2022,8,18
2021-11-18,184,2021,11,18
2016-11-04,185,2016,11,4
2010-09-06,186,2010,9,6
1996-02-07,187,1996,2,7
1990-04-08,188,1990,4,8
2011-02-28,189,2011,2,28
2018-06-20,190,2018,6,20
2008-10-03,191,2008,10,3
2009-04-05,192,2009,4,5
2020-09-18,193,2020,9,18
2004-01-11,194,2004,1,11
2022-08-05,195,2022,8,5
2015-08-24,196,2015,8,24
1973-02-26,197,1973,2,26
2019-05-31,198,2019,5,31
2018-01-13,199,2018,1,13
2018-04-06,200,2018,4,6
2010-08-02,201,2010,8,2
1989-07-05,202,1989,7,5
2020-02-26,203,2020,2,26
2020-12-10,204,2020,12,10
2018-02-02,205,2018,2,2
2015-01-06,206,2015,1,6
2008-09-07,207,2008,9,7
2012-01-06,208,2012,1,6
2009-03-09,209,2009,3,9
2014-07-13,210,2014,7,13
2004-10-03,211,2004,10,3
2015-09-22,212,2015,9,22
2004-10-05,213,2004,10,5
2009-01-05,214,2009,1,5
2012-07-08,215,2012,7,8
2016-09-30,216,2016,9,30
2009-11-28,217,2009,11,28
2020-04-27,218,2020,4,27
2001-10-02,219,2001,10,2
2018-08-10,220,2018,8,10
2020-12-04,221,2020,12,4
2017-09-24,222,2017,9,24
2005-09-23,223,2005,9,23
1997-04-01,224,1997,4,1
2011-01-17,225,2011,1,17
2020-01-23,226,2020,1,23
2010-09-20,227,2010,9,20
2010-03-27,228,2010,3,27
1997-03-10,229,1997,3,10
2015-12-16,230,2015,12,16
2021-06-17,231,2021,6,17
2005-12-27,232,2005,12,27
2015-10-10,233,2015,10,10
2011-09-22,234,2011,9,22
2020-06-17,235,2020,6,17
2017-04-23,236,2017,4,23
