company_name,production_company_id
Revolution Sun Studios,1
Television 360,2
Generator Entertainment,3
Bighead Littlehead,4
Vancouver Media,5
21 Laps Entertainment,6
Monkey Massacre Productions,7
AMC Studios,8
Circle of Confusion,9
Valhalla Motion Pictures,10
Darkwoods Productions,11
Skybound Entertainment,12
Idiotbox,13
Warner Bros. Television,14
DC Entertainment,15
Jerry Bruckheimer Television,16
DC Vertigo,17
Berlanti Productions,18
CBS Studios,19
Archie Comics,20
Siren Pictures,21
Firstman Studio,22
Sony Pictures Television Studios,23
High Bridge Productions,24
Gran Via Productions,25
ABC Studios,26
3AD,27
Marvel Studios,28
Chuck Lorre Productions,29
The Mark Gordon Company,30
ShondaLand,31
Touchstone Television,32
Lucasfilm Ltd.,33
Golem Creations,34
Fairview Entertainment,35
Gracie Films,36
20th Century Fox Television,37
20th Television Animation,38
20th Television,39
A24,40
The Reasonable Bunch,41
Little Lamb Productions,42
DreamCrew,43
Tiny Goat,44
HBO,45
ADD Content Agency,46
HOT,47
Tedy Productions,48
Dark Horse Entertainment,49
UCP,50
Tiger Aspect,51
BBC Studios,52
Caryn Mandabach Productions,53
Screen Yorkshire,54
Zeta Studios,55
Amazon Studios,56
Original Film,57
Kripke Enterprises,58
Point Grey Pictures,59
Kickstart,60
NightSky Productions,61
Williams Street,62
Harmonious Claptrap,63
Justin Roiland's Solo Vanity Card Productions,64
Starburns Industries,65
Green Portal Productions,66
Alloy Entertainment,67
Outerbanks Entertainment,68
Bonanza Productions,69
TV Tokyo,70
Pierrot,71
Sound Box,72
MGM Television,73
Millar Gough Ink,74
Toluca Pictures,75
Bright/Kauffman/Crane Productions,76
Supernatural Films,77
Wonderland Sound and Vision,78
Eleven,79
Shaw Media,80
World 2000 Entertainment,81
Take 5 Productions,82
Wiedemann & Berg Television,83
Universal Television,84
Bad Hat Harry Productions,85
Heel & Toe Films,86
Shore Z Productions,87
Hurwitz & Schlossberg Productions,88
Overbrook Entertainment,89
ufotable,90
Aniplex,91
Shueisha,92
Production I.G,93
MAPPA,94
WIT STUDIO,95
Pony Canyon,96
Techno Sound,97
Kodansha,98
dentsu,99
MBS,100
Pony Canyon Enterprise,101
SISTER,102
The Mighty Mint,103
Word Games,104
Ryan Murphy Productions,105
Brad Falchuk Teley-vision,106
Anthony Hemingway Productions,107
Sean Daniel Company,108
Platige Image,109
Hivemind,110
Little Schmidt Productions,111
Platige Films,112
Televisa,113
Jerry Weintraub Productions,114
Bad Robot,115
Kilter Films,116
Eat the Cat,117
Hartswood Films,118
BBC Wales,119
Masterpiece,120
A-1 Pictures,121
Studio Deen,122
Toei Company,123
Toei Animation,124
Fuji Television Network,125
Fizz Sound Creation,126
Prison Break Productions,127
Adelstein-Parouse Productions,128
Original Television,129
BONES,130
movic,131
Yomiuri Telecasting Corporation,132
Sony Music Entertainment (Japan),133
TOHO,134
Dutch Oven,135
Hypnotic,136
Northwood Entertainment,137
Northwood Pictures,138
House of Tomorrow,139
Zeppotron,140
Carter Bays,141
Method Animation,142
SAMG Animation,143
Zagtoon,144
Anonymous Content,145
Esmail Corp,146
Mini Art,147
PlayStation Productions,148
Naughty Dog,149
Avex Trax,150
Asatsu-DK,151
DeKnight Productions,152
Goddard Textiles,153
Marvel Television,154
Fox Television Studios,155
Regency Television,156
Fuzzy Door Productions,157
Paramount Television Studios,158
South Park Studios,159
Comedy Central,160
Parker-Stone Productions,161
MTV Entertainment Studios,162
Flitcraft,163
Wonderful Films,164
DC Comics,165
Tollin/Robbins Productions,166
David Kirschner Productions,167
Skybound North,168
Perfect Storm Entertainment,169
K/O Paper Products,170
Blackjack Productions,171
SB Films,172
Blue Spirit,173
Squeeze,174
Flying Bark Productions,175
Stellar Creative Lab,176
Showtime Networks,177
John Goldwyn Productions,178
The Colleton Company,179
Clyde Phillips Productions,180
Devilina Productions,181
Madhouse,182
Nickelodeon Animation Studio,183
JM Animation,184
DR Movie,185
Moi Animation,186
ABC Signature,187
Erica Messer Productions,188
Bastard Sword,189
1:26 Pictures,190
GRRM,191
Wolf Entertainment,192
Studios USA,193
Universal Media Studios,194
Primrose Hill Productions,195
Amblin Television,196
Baer Bones,197
Caracol Televisión,198
Fortiche Production,199
Riot Games,200
Film Monster,201
SLL,202
Kim Jong-hak Production,203
Mutant Enemy Productions,204
Walt Disney Studios,205
Marvel Entertainment,206
J.C.STAFF,207
Bandai Visual,208
East Japan Marketing & Communications,209
Lantis,210
Banpresto,211
Good Smile Company,212
Platinum Dunes,213
Blumhouse Television,214
RCN,215
My So-Called Company,216
HBO Films,217
DreamWorks Television,218
DreamWorks Pictures,219
BBC Television Centre,220
Playtone,221
MF Yapım,222
Far Field Productions,223
Josephson Entertainment,224
Kevin Feige Productions,225
Dr. Goor Productions,226
3 Arts Entertainment,227
Fremulon,228
Hazy Mills Productions,229
The Curiosity Company,230
Warner Bros. Entertainment,231
Davis Entertainment,232
Blur Studio,233
Studio La Cachette,234
Lorimar Television,235
Green/Epstein Productions,236
Konigsberg/Sanitsky Company,237
Sumzap,238
dugout,239
Cloverway,240
Inc.,241
A+E Studios,242
Man Sewing Dinosaur,243
Warner Horizon Television,244
Passenger,245
Lee Caplin / Picture Entertainment,246
PASTEL,247
Neon Black,248
Parliament of Owls,249
Dominic Buchanan Productions,250
Clerkenwell Films,251
Telemundo Studios,252
Argos Comunicación,253
United Plankton Pictures,254
Nickelodeon Productions,255
Ten Thirteen Productions,256
Fox Telecolombia,257
CBC,258
Bad Wolf,259
Spondoolie Productions,260
SutterInk,261
The Linson Company,262
Fox 21,263
FX Productions,264
Hwa&Dam Pictures,265
Studio Dragon,266
Disney Television Animation,267
Gaumont International Television,268
Weed Road Pictures,269
Frederator Studios,270
Cartoon Network Studios,271
White Oak Pictures,272
Daniel Wilson Productions Inc.,273
Russian Hill Productions,274
Long Lake Media,275
Panic Pictures,276
MRC,277
Trigger Street Productions,278
Tall Ship Productions,279
Left Bank Pictures,280
Story Mining & Supply Company,281
Levitan Lloyd Productions,282
Steven Levitan Prods,283
Picador Productions,284
The Safran Company,285
Troll Court Entertainment,286
Globomedia,287
Quinn's House,288
Flight 33 Productions,289
26 Keys Productions,290
The Littlefield Company,291
Mike Zoss Productions,292
John Wells Productions,293
Lemon Studios,294
Lionsgate Television,295
Tilted Productions,296
New Line Cinema,297
Bohemian Risk Productions,298
Starz Productions,299
DreamWorks Animation,300
Universal Pictures,301
Reamworks,302
Endeavor Content,303
Chernin Entertainment,304
about:blank,305
Tropper Ink Productions,306
Nebulastar,307
Quaker Moving Pictures,308
Dino De Laurentiis Company,309
Living Dead Guy Productions,310
AXN,311
Denver and Delilah Productions,312
Tornante Company,313
ShadowMachine,314
Boxer vs Raptor,315
Marvelous,316
TC Entertainment,317
Spelling Television,318
Worldvision Enterprises,319
Tall Girls Productions,320
Syfy,321
Legendary Television,322
Alcon Entertainment,323
The Stuffed Dog Company,324
NBC Productions,325
Quincy Jones-David Salzman Entertainment,326
thinkfilm,327
Belisarius Productions,328
Tailwind Productions,329
Teakwood Lane Productions,330
Cherry Pie Productions,331
Keshet Broadcasting,332
Fox 21 Television Studios,333
Fulwell 73,334
Kardashian Jenner Productions,335
Zero Gravity Management,336
Aggregate Films,337
Man,338
Woman & Child Productions,339
Fox Latin American Channels,340
Intrepid Pictures,341
Kitsis/Horowitz,342
One Big Picture,343
Chapter Eleven,344
343 Industries,345
Blown Deadline Productions,346
Corazón Films,347
Darren Star Productions,348
Underdog Productions,349
Vox Media Studios,350
Vox Entertainment,351
Fake Empire Productions,352
SUNRISE,353
Production H,354
Studio Mir,355
Gaumont,356
Radar Pictures,357
IWOT Productions,358
Little Island Productions,359
Long Weekend Productions,360
Bird Studios,361
Spelling Entertainment,362
Lynch/Frost Productions,363
Propaganda Films,364
Telemundo Global Studios,365
101 Studios,366
Bosque Ranch Productions,367
Treehouse Films,368
Lucasfilm Animation,369
SQUARE ENIX,370
DreamWorks Animation Television,371
The Kennedy/Marshall Company,372
Schneider's Bakery,373
Purepop,374
Phantom Four,375
The Blank Corporation,376
Narrativia,377
BBC Worldwide,378
Salt River Studios,379
TRIGGER,380
CloverWorks,381
khara,382
West-Shapiro,383
Castle Rock Entertainment,384
Robot Communications,385
Netflix,386
Mythology Entertainment,387
Skydance Television,388
Fazekas & Butters,389
Your Face Goes Here Entertainment,390
TNK,391
Beacon Pictures,392
Experimental Pictures,393
Mirada,394
Zack Promotion,395
Group Eight,396
GENCO,397
EGG FIRM,398
Kaling International,399
Doozer,400
Ryan Seacrest Productions,401
Storied Media Group,402
Q Productions,403
Campanario Entertainment,404
Secret Hideout,405
Roddenberry Entertainment,406
Shogakukan Production,407
OLM,408
Shogakukan-Shueisha Productions,409
TV Tokyo Medianet,410
SOFTX,411
Escapist Fare,412
101st Street Entertainment,413
Sony Music Entertainment,414
Kuzui Enterprises,415
Sandollar Productions,416
Groundswell Productions,417
Graphinica,418
Yumeta Company,419
Warner Bros. Japan,420
CoMix Wave Films,421
Sammy,422
THE KLOCKWORX,423
Carnival Films,424
Temple Hill Entertainment,425
No Helmet Productions,426
The Walk-Up Company,427
Story House Entertainment,428
