in_production,status,type,original_language,origin_country,show_attributes_id
False,Ended,Scripted,en,US,1
False,Ended,Scripted,es,ES,2
True,Returning Series,Scripted,en,US,3
True,Returning Series,Scripted,ko,KR,4
False,Ended,Miniseries,en,US,5
False,Ended,Scripted,en,GB,6
True,Returning Series,Scripted,es,ES,7
False,Ended,Scripted,ja,JP,8
False,Ended,Scripted,en,CA,9
False,Ended,Scripted,de,DE,10
True,Returning Series,Scripted,ja,JP,11
False,Ended,Scripted,es,MX,12
False,Canceled,Scripted,en,US,13
False,Canceled,Scripted,en,CA,14
True,Returning Series,Scripted,en,GB,15
True,Returning Series,Scripted,fr,FR,16
False,Ended,Scripted,es,CO,17
False,Ended,Scripted,tr,TR,18
True,Returning Series,Scripted,es,US,19
False,Ended,Scripted,ko,KR,20
False,Ended,Documentary,en,US,21
True,Returning Series,Reality,en,US,22
False,Ended,Scripted,es,US,23
True,Returning Series,Scripted,es,MX,24
True,Returning Series,Scripted,en,"GB, US",25
False,Canceled,Scripted,es,MX,26
False,Ended,Scripted,en,"CA, US",27
False,Ended,Scripted,es,AR,28
False,Ended,Miniseries,es,ES,29
False,Ended,Scripted,en,"CA, US, GB",30
False,Canceled,Scripted,en,GB,31
True,Returning Series,Documentary,es,MX,32
True,Returning Series,Scripted,en,"US, GB",33
False,Ended,Scripted,pt,BR,34
False,Ended,Scripted,en,"US, CA",35
False,Ended,Scripted,da,DK,36
False,Canceled,Scripted,de,DE,37
False,Ended,Miniseries,ja,JP,38
False,Ended,Scripted,ca,ES,39
True,Returning Series,Scripted,en,IE,40
True,Returning Series,Reality,es,MX,41
False,Ended,Miniseries,en,GB,42
True,Returning Series,Scripted,sv,SE,43
False,Ended,Documentary,en,CA,44
False,Ended,Scripted,no,NO,45
False,Ended,Reality,en,GB,46
False,Ended,Reality,en,US,47
False,Ended,Scripted,en,FR,48
False,Ended,Scripted,th,TH,49
False,Ended,Scripted,it,IT,50
False,Ended,Miniseries,ko,KR,51
False,Ended,Miniseries,en,,52
False,Ended,Scripted,en,IE,53
True,Returning Series,Scripted,de,DE,54
False,Ended,Miniseries,en,"DE, IT, ZA, TR, GB, US",55
False,Canceled,Scripted,en,"US, GB",56
False,Ended,Scripted,es,"CO, US",57
True,Returning Series,Documentary,en,GB,58
False,Ended,Scripted,ko,"KR, NC",59
False,Ended,Miniseries,es,AR,60
True,Returning Series,Scripted,zh,CN,61
True,Returning Series,Documentary,en,US,62
False,Ended,Miniseries,es,"CO, US",63
True,Returning Series,Talk Show,en,GB,64
False,Ended,Scripted,zh,CN,65
True,Returning Series,Scripted,es,CL,66
False,Ended,Miniseries,es,CO,67
True,Returning Series,News,en,US,68
False,Ended,Scripted,en,AU,69
False,Ended,Video,ja,JP,70
False,Canceled,Scripted,es,ES,71
False,Ended,Miniseries,de,DE,72
True,Returning Series,Scripted,en,CA,73
False,Canceled,Scripted,es,CO,74
False,Ended,Documentary,es,CO,75
False,Ended,Scripted,es,"MX, US",76
False,Ended,Scripted,sv,SE,77
True,Returning Series,Scripted,ar,JO,78
False,Ended,Scripted,es,"VE, CO, US",79
False,Ended,Miniseries,it,IT,80
False,Ended,Miniseries,da,DK,81
True,Returning Series,Talk Show,en,US,82
False,Ended,Scripted,en,"US, AU",83
False,Ended,Scripted,fr,BE,84
False,Ended,Scripted,en,"ES, GB",85
False,Canceled,Scripted,fr,FR,86
False,Ended,Miniseries,en,"IT, GB",87
False,Ended,Scripted,en,"US, CO",88
False,Ended,Scripted,es,,89
False,Ended,Video,en,US,90
True,Returning Series,Reality,ko,KR,91
True,Returning Series,Scripted,ru,RU,92
False,Canceled,Scripted,en,"CA, US",93
False,Ended,Scripted,es,PR,94
True,Returning Series,Miniseries,ru,RU,95
