show_id,network_id
1399,1
71446,2
71446,3
66732,2
1402,4
63174,5
63174,2
69050,6
93405,2
1396,4
71712,7
85271,8
60735,6
1418,9
84958,8
1416,7
82856,8
456,5
85552,1
75006,2
60574,10
60574,11
76669,2
76479,12
60625,13
18165,6
88396,8
31910,14
48866,6
119051,2
1668,15
1622,16
1622,6
81356,2
44217,12
44217,17
70523,2
1408,5
77169,2
77169,18
85937,19
85937,20
85937,21
85937,22
85937,23
85937,24
85937,25
85937,26
85937,27
85937,28
85937,29
85937,30
85937,31
85937,32
85937,33
85937,34
85937,35
85937,36
85937,37
85937,38
85937,39
85937,40
85937,41
85937,42
85937,43
85937,44
85937,45
85937,46
85937,47
85937,48
85937,49
85937,50
1412,6
1429,51
1429,52
1429,21
87108,1
1413,53
46260,14
71912,2
12637,54
12637,55
63247,1
82883,56
19885,10
62104,57
62104,51
62104,14
62104,58
62104,59
62104,60
62104,61
62104,62
62104,63
62104,64
62104,65
62104,66
62104,67
62104,68
62104,69
62104,70
62104,71
62104,72
62104,73
62104,74
62104,75
62104,76
62104,77
62104,78
62104,79
62104,80
62104,81
62104,82
62104,83
62104,84
62104,85
62104,86
62104,87
62104,88
62104,89
62715,19
62286,4
2288,5
65930,90
65930,51
65930,58
65930,91
37680,92
70785,93
42009,94
42009,2
1100,9
60059,4
65334,95
105214,2
62560,92
12971,19
100088,1
37854,19
61889,2
62688,9
62688,6
2004,5
1434,5
66788,2
2190,96
87739,2
34524,97
4604,16
4604,6
90462,92
90462,98
95557,12
60797,9
91363,8
1405,99
4607,7
13916,90
246,100
2316,15
4057,9
4057,101
94997,1
2734,15
5920,9
46331,9
43348,102
94605,2
99966,2
79242,2
1403,7
63926,14
63926,60
63926,62
80213,92
71886,103
60708,5
16286,104
46896,6
4613,1
104877,5
1911,5
88329,8
80020,19
48891,15
48891,5
39351,15
615,5
615,96
615,56
2691,9
46952,15
86831,2
19614,7
95479,51
95479,58
95479,59
95479,63
95479,65
95479,67
95479,68
95479,70
95479,71
95479,105
95479,72
95479,73
95479,74
95479,75
95479,76
95479,77
95479,78
95479,79
95479,80
95479,81
95479,82
95479,83
95479,84
95479,85
95479,86
95479,87
95479,88
95479,89
12609,19
78191,106
78191,2
46648,1
74577,94
44953,107
79460,6
387,100
4087,5
67335,107
57243,10
60866,6
1409,53
67915,108
40075,109
40075,110
63351,2
75450,111
75450,112
15260,113
69478,56
31917,114
31917,103
1425,2
56570,115
92749,8
1421,7
110492,112
62455,116
62455,3
62710,15
70881,14
1398,1
27240,17
60622,53
34307,99
102903,2
113988,2
115036,8
1424,2
84773,12
67178,2
46296,115
58841,15
62127,2
95594,2
75219,5
80752,117
1705,5
62643,6
71728,9
16997,1
40008,15
67744,2
61222,2
61374,21
1981,16
38472,2
63639,98
63639,12
1892,15
95057,6
4614,9
91239,2
1639,15
44006,15
1407,99
154521,56
69740,2
45871,116
72844,2
39272,7
52814,101
11250,107
1438,1
90239,118
105,1
1433,5
1433,58
96815,2
1395,6
35610,119
35610,90
35610,91
89641,2
33880,100
1437,5
96677,2
92783,8
71914,12
65494,2
31132,113
12697,19
1920,7
1920,99
31586,107
73586,120
4194,113
4194,2
4194,8
31911,51
31911,58
31911,59
31911,73
93741,2
2038,100
90802,2
63401,113
47,55
71915,12
76121,21
77606,2
12926,54
12926,55
1400,15
90260,2
110316,2
68421,2
61550,7
10545,1
45950,121
1419,7
47640,53
693,7
62046,5
30984,14
30984,122
16420,123
16420,124
45782,20
45782,21
45782,125
45782,22
45782,25
62126,2
31356,100
100883,2
4556,15
4556,7
80743,2
97180,2
67198,126
67198,101
1606,9
60572,14
60572,60
60572,61
60572,62
60572,64
60572,66
42035,3
85949,126
85949,101
32798,9
31251,100
95,16
95,127
64432,98
114868,2
4686,113
63333,2
63333,11
1411,9
97186,56
97186,8
46298,90
71411,54
1415,9
1620,9
120089,14
120089,60
120089,61
120089,62
120089,64
120089,66
71740,128
18347,15
18347,129
46786,130
46639,115
112888,108
79744,7
68507,10
61056,7
89247,6
74428,131
62264,115
890,14
72305,51
72305,21
61664,2
75758,2
117581,2
2098,5
2098,132
86430,99
80240,102
30991,14
30991,133
79699,104
79699,107
92685,109
60573,1
92830,8
39340,9
58474,5
58474,134
60743,15
4629,99
4629,98
72637,110
72637,109
92396,104
71789,9
71789,101
76773,7
153312,101
69629,5
100834,135
85723,112
1972,98
2085,113
100049,121
100049,21
5371,100
1973,5
90461,8
8358,5
66573,15
79696,15
79696,2
67136,15
97175,2
87784,117
66292,1
64464,56
94667,12
655,136
84661,1
97546,117
89456,13
52,5
8592,15
37606,113
62285,2
86031,21
86031,137
61923,110
61923,109
114410,14
114410,60
114410,61
114410,62
114410,64
114410,66
45790,21
45790,22
45790,138
73375,12
67195,53
103768,2
1420,5
61617,113
71790,9
79501,111
79501,112
79501,139
21510,92
85720,2
126280,2
128839,15
79788,1
57706,19
58450,55
115857,2
4589,5
4589,2
47665,115
96462,108
2490,94
80623,2
83095,121
4616,136
80968,2
54671,99
45815,140
82596,2
74016,5
4327,141
65844,21
79525,142
60863,51
60863,58
60863,59
60863,67
60863,68
42444,57
120168,2
54650,115
2384,15
67070,143
67070,10
253,15
4336,96
42671,121
56296,144
56296,145
76719,2
107113,56
86423,2
72750,145
115004,1
87689,2
62017,12
1891,1
65708,10
65708,53
71024,2
900,146
79680,147
31268,104
13027,55
10283,53
10283,148
604,113
96648,2
82739,149
17610,9
34967,147
5451,107
1431,9
61175,113
90027,12
18011,150
18011,128
18011,55
62823,97
62823,151
61459,90
124834,2
94305,4
80986,6
80986,111
90937,19
61852,100
63407,55
105009,51
41727,152
1104,4
31072,55
83100,14
69061,2
70828,102
7842,7
4574,5
4574,132
66203,109
73481,104
64230,4
90669,2
62650,15
2352,9
105248,2
102966,107
86248,12
4658,15
62914,153
62914,154
81354,2
6040,113
33217,113
33217,111
33217,112
93740,117
71738,5
71738,56
67075,21
1778,100
68267,2
83097,19
5178,155
1215,99
605,7
605,16
60948,98
2309,100
71578,2
66084,156
89393,5
109958,2
79649,17
1044,10
74204,2
125910,2
62110,19
4313,7
74440,111
74440,112
74440,139
34391,110
98986,121
63109,157
2710,53
2710,148
131927,99
92782,8
65249,19
79240,111
888,5
888,132
73021,2
50825,5
92967,5
12313,144
39852,92
39852,2
91557,2
81146,104
1600,100
1621,1
89905,143
18123,113
1426,10
63210,2
63210,103
2290,98
93812,56
1695,92
43899,17
61223,21
3763,7
80350,15
4239,5
897,113
1404,15
4500,7
252,127
252,6
42589,21
42589,137
42589,158
64513,53
66276,1
61663,19
2317,15
46261,14
1516,15
1988,136
80169,2
82747,12
42705,90
61859,10
70593,2
18350,55
83125,2
54344,1
33907,141
33907,159
3570,57
110290,94
60802,147
4630,100
14141,15
97513,12
4586,16
4586,6
14814,160
64122,97
64122,161
83867,8
67133,9
89901,117
98387,54
76331,1
902,14
902,62
902,64
902,66
2426,16
95396,117
67026,7
67026,2
67466,56
72002,6
1274,1
63767,162
7225,10
1781,15
607,113
96316,51
96316,58
96316,59
96316,63
96316,65
96316,67
96316,68
96316,69
96316,70
96316,71
96316,72
96316,73
96316,74
96316,75
96316,76
96316,77
96316,78
96316,79
96316,80
96316,81
96316,82
96316,83
96316,84
96316,85
96316,86
96316,87
96316,88
96316,89
66330,162
105971,8
32726,5
99071,121
537,100
127235,117
80564,19
71663,6
86374,163
65820,98
108978,12
1855,127
96160,2
95601,154
95601,164
1996,7
95403,12
62741,14
62741,121
62741,60
62741,62
62741,64
62741,137
62741,61
62741,66
62741,165
93846,155
83639,2
83639,166
433,5
42573,57
78722,55
6357,9
36250,58
46533,53
61418,6
100,11
117376,108
2391,1
106651,2
64196,121
62852,99
94664,21
94664,22
94664,137
34899,167
82104,2
65294,2
110070,20
110070,21
110070,22
110070,25
96713,2
37863,58
61888,5
110642,2
113036,56
85801,8
31295,146
31109,113
43020,168
186,99
61345,98
119243,101
74387,13
74387,58
48865,6
69291,21
31654,19
46994,110
46994,169
75191,4
62687,9
32692,9
60957,155
240,16
114472,8
82700,2
12782,55
65988,98
65988,144
65988,170
25707,14
68349,162
61593,13
71365,98
4588,15
54155,12
56998,121
60554,110
2875,7
61709,19
49010,171
110356,2
4229,113
100757,2
3475,99
80748,9
93149,21
93149,137
2129,100
87623,172
80307,10
124364,173
124364,174
88040,19
90660,2
1427,141
84200,113
1877,110
1877,109
73107,1
53425,5
2996,11
62704,1
62425,98
62425,144
73411,2
1660,15
61733,5
1417,5
75214,21
1406,1
81355,2
2673,5
70453,1
3854,110
3854,6
32754,5
68595,10
3498,109
88236,2
76231,53
132559,56
132559,175
28136,19
79732,2
39358,7
314,127
65320,176
65320,177
1423,99
1447,92
130392,56
120911,12
116135,2
2328,7
2328,100
2328,114
2328,178
2328,2
2328,132
580,136
9687,179
9687,15
112163,2
67773,145
3452,15
2675,109
79410,2
62273,58
62273,21
62273,22
56295,180
97400,2
105556,21
105556,22
88055,117
46901,54
46901,55
38693,113
84977,2
82684,22
82684,21
65143,123
111110,2
57532,100
95269,58
606,113
83121,20
83121,21
83121,22
83121,25
2723,113
2723,13
94280,113
5522,107
34415,4
34415,2
65555,181
68315,161
46028,109
95281,12
2025,5
45,10
45,11
13023,55
926,7
926,9
62428,182
96203,21
96203,22
96203,137
96203,138
96203,183
97727,2
74682,162
2660,113
2228,16
70796,12
67116,5
67135,5
113901,12
67126,149
67126,121
160,9
160,136
98123,184
66786,15
82,16
82,132
114695,8
84669,58
86836,121
86836,21
31724,51
35790,185
35790,186
2382,15
42509,187
42509,183
4482,7
83659,2
68734,107
99778,121
1414,53
4546,1
3322,1
98754,100
33623,110
21494,7
67683,168
67683,2
76747,2
93484,2
96557,2
47450,4
68878,107
30983,91
90814,2
4018,15
68716,7
3022,100
83851,1
69470,2
90855,2
90855,188
2458,9
86850,10
67557,12
38974,109
2942,99
97617,121
97617,20
97617,21
97617,22
97617,25
5148,98
2207,11
61339,189
73321,190
73321,191
73321,184
73321,192
73321,193
1436,53
112836,2
4610,109
59427,110
73777,55
80828,1
61611,155
18685,194
65495,53
104819,12
104555,2
82816,1
4345,15
44305,113
17572,110
4605,109
62816,7
4608,15
197067,195
111803,1
60694,1
1481,92
72517,121
72517,60
72517,21
66857,92
32351,96
98034,19
86382,126
720,136
1422,7
64706,21
64706,137
64706,60
64706,22
64706,183
64706,121
51817,100
79008,107
79008,2
873,7
873,15
106541,2
40293,115
60808,121
60808,21
60808,183
60808,137
60808,60
60808,22
652,16
652,113
77240,14
42025,196
42025,197
4429,136
4429,9
4429,178
96580,98
15819,98
136315,56
57911,57
1063,19
918,9
12777,55
68129,57
11721,55
33765,198
33765,199
9160,57
111141,2
2046,7
117488,99
85922,2
48462,155
45140,113
64710,22
64710,21
64710,51
64710,60
64710,200
90282,117
111499,118
111499,201
4620,98
79434,108
35753,158
35753,121
106292,2
94796,2
94796,108
15655,15
849,10
79141,190
79141,191
79141,184
79141,193
64684,10
4238,9
66190,103
88640,56
1558,7
12965,55
1432,127
1432,6
1432,56
87763,3
87763,135
99581,2
14929,93
2131,97
63145,21
2913,100
2913,91
2913,202
88803,180
88803,52
88803,21
88803,22
88803,203
62649,15
58981,100
7458,102
96777,2
125988,117
83631,53
93785,2
70637,121
6782,178
86034,121
62858,92
65648,58
65648,204
65648,51
65648,59
65648,121
65648,205
63764,107
84452,2
4743,3
2405,113
87527,2
32218,55
2260,196
81046,2
62822,94
2122,5
49011,9
42916,14
42916,62
67389,51
82809,107
15621,1
121,10
107124,56
5835,5
5835,91
5835,132
79818,206
88061,121
71715,15
83596,54
83596,55
45783,51
141,15
1126,207
71769,147
46928,208
45016,209
45016,210
2140,9
123249,20
123249,21
123249,22
123249,25
2355,7
2355,109
62517,9
75208,2
87917,117
15842,107
18197,7
71116,56
63623,2
114501,8
81349,56
99588,101
91275,2
60726,7
88516,2
77236,211
77236,212
1435,9
84647,2
194766,12
86848,9
86848,101
136283,2
79622,12
90447,108
32226,162
39269,7
65676,58
35935,90
5739,56
1428,213
1428,155
96444,121
513,16
99494,108
85021,214
2287,7
89844,215
89844,112
66871,17
69998,216
79086,173
79086,174
36,15
36,9
129035,4
210232,2
44824,107
1940,1
60585,12
1410,15
73544,152
73544,139
117023,2
62699,214
61671,2
93287,112
88052,2
2327,16
2902,99
66433,155
549,15
100412,2
33761,54
33761,55
88046,58
88046,81
88046,65
88046,70
88046,59
88046,51
79863,103
127865,2
60858,15
3772,9
4615,136
2224,96
46511,94
114395,2
114395,217
1830,9
1830,136
1830,132
116450,112
116450,139
1777,7
4271,218
4271,98
197588,2
42295,2
51019,5
88324,2
73467,2
3137,147
3137,136
3137,219
82282,55
15079,109
236,9
1615,109
1615,136
128883,108
112314,2
79084,53
424,143
424,10
424,115
424,11
346,109
68073,100
93811,2
58539,54
58539,55
91977,103
45094,5
62413,98
62413,144
16830,19
82585,107
1087,14
5687,15
5687,220
5687,221
5687,222
96129,2
82424,164
5459,54
5459,55
108296,2
71225,2
155537,117
14396,15
66825,157
903,94
32962,53
2437,223
2437,224
709,13
94810,112
92916,2
51704,98
81357,2
19649,141
19649,225
19649,15
129552,2
1546,7
1546,109
66958,121
66958,21
111111,2
60699,2
2919,92
37585,14
64254,2
94154,54
46883,55
97173,2
82565,216
82565,107
155,15
113367,12
63375,213
103157,51
