date_id,full_date,year,month,day,quarter
1,2011-04-17,2011,4,17,2
2,2017-05-02,2017,5,2,2
3,2016-07-15,2016,7,15,3
4,2010-10-31,2010,10,31,4
5,2016-01-25,2016,1,25,1
6,2017-01-26,2017,1,26,1
7,2021-09-17,2021,9,17,3
8,2008-01-20,2008,1,20,1
9,2017-09-25,2017,9,25,3
10,2021-01-15,2021,1,15,1
11,2014-10-07,2014,10,7,4
12,2007-09-24,2007,9,24,3
13,2021-06-09,2021,6,9,2
14,2005-03-27,2005,3,27,1
15,2019-11-12,2019,11,12,4
16,1989-12-17,1989,12,17,4
17,2019-06-16,2019,6,16,2
18,2019-02-15,2019,2,15,1
19,2013-09-12,2013,9,12,3
20,2018-10-05,2018,10,5,4
21,2019-07-25,2019,7,25,3
22,2013-12-02,2013,12,2,4
23,2009-09-10,2009,9,10,3
24,2021-03-19,2021,3,19,1
25,2007-02-15,2007,2,15,1
26,2014-03-19,2014,3,19,1
27,2022-11-23,2022,11,23,4
28,1994-09-22,1994,9,22,3
29,2005-09-13,2005,9,13,3
30,2019-01-11,2019,1,11,1
31,2013-03-03,2013,3,3,1
32,2017-12-01,2017,12,1,4
33,2004-11-16,2004,11,16,4
34,2018-05-02,2018,5,2,2
35,2019-04-06,2019,4,6,2
36,2012-10-10,2012,10,10,4
37,2013-04-07,2013,4,7,2
38,2019-05-06,2019,5,6,2
39,2011-10-05,2011,10,5,4
40,2002-10-03,2002,10,3,4
41,2019-12-20,2019,12,20,4
42,2004-10-04,2004,10,4,4
43,2016-10-02,2016,10,2,4
44,2019-03-20,2019,3,20,1
45,2010-07-25,2010,7,25,3
46,2014-10-05,2014,10,5,4
47,2015-07-05,2015,7,5,3
48,2015-08-23,2015,8,23,3
49,2005-08-29,2005,8,29,3
50,2016-04-03,2016,4,3,2
51,2011-06-23,2011,6,23,2
52,2017-03-19,2017,3,19,1
53,2011-12-04,2011,12,4,4
54,2005-09-19,2005,9,19,3
55,2015-02-08,2015,2,8,1
56,2015-10-19,2015,10,19,4
57,2020-07-15,2020,7,15,3
58,2015-06-24,2015,6,24,2
59,1989-04-26,1989,4,26,2
60,2023-01-15,2023,1,15,1
61,1999-10-20,1999,10,20,4
62,2015-04-10,2015,4,10,2
63,2015-10-26,2015,10,26,4
64,2000-01-09,2000,1,9,1
65,1999-01-31,1999,1,31,1
66,2017-03-31,2017,3,31,1
67,1997-08-13,1997,8,13,3
68,2020-10-23,2020,10,23,4
69,2011-06-05,2011,6,5,2
70,2001-10-16,2001,10,16,4
71,2021-10-12,2021,10,12,4
72,2021-03-25,2021,3,25,1
73,2014-09-22,2014,9,22,3
74,2021-08-11,2021,8,11,3
75,2006-10-01,2006,10,1,4
76,2004-09-22,2004,9,22,3
77,2006-10-04,2006,10,4,4
78,2005-02-21,2005,2,21,1
79,2005-03-24,2005,3,24,1
80,2005-09-22,2005,9,22,3
81,2022-08-21,2022,8,21,3
82,1999-09-20,1999,9,20,3
83,2008-09-23,2008,9,23,3
84,2013-06-24,2013,6,24,2
85,2012-05-28,2012,5,28,2
86,2021-11-06,2021,11,6,4
87,2022-01-28,2022,1,28,1
