network_id,network_name
1,HBO
2,Netflix
3,Antena 3
4,AMC
5,FOX
6,The CW
7,ABC
8,Disney+
9,CBS
10,BBC One
11,BBC Two
12,Prime Video
13,Adult Swim
14,TV Tokyo
15,NBC
16,The WB
17,History
18,YouTube Premium
19,Fuji TV
20,Gunma TV
21,Tokyo MX
22,BS11
23,Tokai Television Broadcasting
24,Kansai TV
25,Tochigi TV
26,Fukui TV
27,Hokkaido Cultural Broadcasting
28,Iwate Menkoi Television
29,Television Oita System
30,Sendai Television
31,SAGA TV
32,Ishikawa TV
33,Television Nishinippon
34,OHK
35,Kochi Sun Sun Broadcasting
36,Television Shin Hiroshima System
37,TV Shizuoka
38,UMK TV Miyazaki
39,NST
40,NBS
41,Sakuranbo TV
42,TSK
43,Ehime Broadcasting
44,KTS
45,Fukushima TV
46,NIB
47,AKT
48,Toyama Television
49,TV Kumamoto
50,Okinawa Television Broadcasting
51,MBS
52,NHK G
53,FX
54,Univision
55,Las Estrellas
56,Hulu
57,tv asahi
58,TBS
59,CBC
60,TV Aichi
61,TVQ
62,TV Osaka
63,Tulip Television
64,TVh
65,SBC
66,TSC
67,BSN
68,tys
69,Nagasaki Broadcasting Company
70,HBC
71,RKK Kumamoto Broadcasting
72,i-Television
73,SBS TV
74,IBC Iwate Broadcasting
75,Broadcasting System of San-in
76,Hokuriku Broadcasting
77,Oita Broadcasting System
78,TV-U Fukushima
79,RSK
80,TV-U Yamagata
81,Tohoku Broadcasting
82,RKB
83,TV Kochi Broadcasting
84,Ryukyu Broadcasting
85,TV Yamanashi
86,RCC
87,MRT Miyazaki Broadcasting
88,ATV
89,MBC South Japan Broadcasting
90,Nippon TV
91,YTV
92,USA Network
93,CBC Television
94,Channel 4
95,TF1
96,Comedy Central
97,MTV
98,Syfy
99,Showtime
100,Nickelodeon
101,Paramount+
102,Caracol TV
103,Freeform
104,RCN
105,Nagasaki Culture Telecasting Corporation
106,Lifetime
107,Telemundo
108,tvN
109,Disney Channel
110,Disney XD
111,DC Universe
112,HBO Max
113,Cartoon Network
114,ABC Family
115,Starz
116,FOX España
117,Apple TV+
118,Pantaya
119,ANIMAX
120,Paramount Network
121,AT-X
122,BS TV Tokyo
123,KBS2
124,VIU
125,tvk
126,CBS All Access
127,UPN
128,Blim
129,Yahoo! Screen
130,A&E
131,Azteca Uno
132,Fox Kids
133,WOWOW Prime
134,National Geographic
135,Atresplayer Premium
136,Syndication
137,KBS Kyoto
138,ABEMA
139,Max
140,TV Globo
141,ITV1
142,ESPN
143,BBC Three
144,Space
145,BBC America
146,E4
147,TNT
148,FXX
149,ABC TV
150,Distrito Comedia
151,VH1
152,Cinemax
153,laSexta
154,TV3
155,SBS
156,MTV Latin America
157,RecordTV
158,Chiba TV
159,PBS
160,E!
161,Spike
162,MBC
163,Canal+
164,#0
165,Kids Station
166,GMM 25
167,Show TV
168,Showcase
169,Family Chrgd
170,CHCH-DT
171,RTÉ One
172,atv
173,Epix
174,MGM+
175,Peacock
176,NRK P3
177,NRK3
178,Toon Disney
179,CTV
180,YouTube
181,Star TV
182,Bandai Channel
183,Sun TV
184,bilibili
185,NHK BS2
186,NHK BS Premium
187,Teletama
188,Crunchyroll
189,Niconico
190,iQiyi
191,Youku
192,Mango TV
193,Tencent Video
194,UniMás
195,ENA
196,Network Ten
197,Eleven
198,Discovery Family
199,Hub Network
200,BS Fuji
201,ViX
202,Family Channel
203,GBS
204,BS-TBS
205,Animax Asia
206,Hunan Television
207,G4
208,Disney Junior
209,SVT1
210,DR1
211,Sky One
212,Sky Max
213,Discovery
214,Sky Atlantic
215,HBO España
216,TNT Latin America
217,Kakao TV
218,Nine Network
219,Prime Time Entertainment Network
220,France 2
221,Antenne 2
222,La Cinq
223,CITV
224,Clan
225,Rai 1
226,TVING
227,Canal 5
228,Nick Jr.
229,Rai 2
230,Weverse
231,JTBC
232,Russia-1
233,Audience
234,Fox Premium Series
235,IMDb TV
236,Spectrum
237,Televisión Pública Argentina
238,ZDF
239,Kanal D
240,OCN
241,Azul Televisión
242,MTV2
243,Dave
244,Teletoon
245,V LIVE
246,Boomerang
247,Channel One
248,truTV
249,ABC KIDS
250,WWE Network
251,France 3
252,Canal+ Family
253,Gulli
254,ZDFneo
255,SundanceTV
256,Cartoon Network Anything
257,Televisión Nacional de Chile
258,Cartoon Network Latin America
259,AXN
260,The New TNN
261,El Rey Network
262,WGN America
263,Claro Video
264,Fox Latin America
265,SKY PerfecTV!
266,Chiller
267,Shudder
268,Nagoya TV
269,Canal J
270,TV5
271,Kapamilya Channel
272,Jetix
273,Military Channel
274,PLANÈTE+
275,10 Play
276,10 Shake
277,Nicktoons
278,ORF
279,Telefe
280,showcase
281,FOX Showcase
282,NET.
283,Orange TV
284,NHK Educational TV
285,Hallmark Channel
286,National Geographic Channel
287,Citytv
288,Chukyo TV
289,RNB
290,Global TV
291,mitele
292,FDF
293,Telecinco
294,Sky History
295,National Educational Television
296,Kan 11
297,TV8
298,HBO Nordic
299,CMT
300,CBBC
301,ABC.com
302,RÚV
303,NRK1
304,Logo
305,C More
306,LINE TV
307,WeTV
308,Premier
309,TV Land
310,OCS Max
311,HBO Family
312,América Televisión
313,Travel Channel
314,discovery+
315,Crackle
316,RAB
317,TVI
318,YBC
319,BBC iPlayer
320,VTM
321,Canal Uno
322,Comedy Central Latinoamérica
323,Investigation Discovery
324,La 1
325,HTB
326,HBO Latin America
327,TVNZ 1
328,ABC Me
329,Stan
330,Canal 1
331,Bell TV
332,Rooster Teeth
333,Viaplay
334,KiKa
335,OUFtivi
336,Fox Nation
337,Playstation Network
338,H2
339,RTL
340,yes
341,RaiPlay
342,BBC Four
343,NAVER TV
344,HBO Europe
345,Pop
346,ARD
347,Zhejiang Television
348,MyNetworkTV
349,eltrece
