show_id,genre_id
1399,1
1399,2
1399,3
71446,4
71446,2
66732,2
66732,1
66732,5
1402,3
1402,2
1402,1
63174,4
63174,1
69050,4
69050,2
69050,5
93405,3
93405,5
93405,2
1396,2
1396,4
71712,2
85271,1
85271,5
85271,2
60735,2
60735,1
1418,6
84958,2
84958,1
1416,2
82856,1
82856,3
82856,2
456,7
456,8
456,6
85552,2
85552,4
75006,3
75006,1
75006,2
60574,2
60574,4
76669,4
76669,5
76669,2
76479,1
76479,3
60625,8
60625,6
60625,1
60625,3
18165,2
18165,1
88396,3
88396,2
31910,8
31910,3
31910,1
48866,1
48866,2
48866,3
119051,1
119051,5
119051,6
1668,6
1622,2
1622,5
1622,1
81356,6
81356,2
44217,3
44217,2
44217,9
70523,2
70523,1
70523,5
1408,2
1408,5
77169,3
77169,2
77169,6
85937,8
85937,3
85937,1
1412,4
1412,2
1412,5
1412,3
1429,1
1429,8
1429,3
87108,2
1413,2
1413,5
1413,1
46260,8
46260,3
46260,1
71912,2
71912,3
71912,1
12637,6
12637,10
12637,2
63247,1
63247,11
82883,2
82883,4
19885,4
19885,2
19885,5
62104,3
62104,8
62104,1
62715,8
62715,3
62715,1
62286,3
62286,2
2288,3
2288,4
2288,2
65930,3
65930,8
37680,2
70785,2
70785,7
42009,1
42009,2
42009,5
1100,6
60059,4
60059,2
65334,3
65334,8
65334,12
105214,5
105214,2
62560,4
62560,2
12971,8
12971,1
12971,3
100088,2
37854,3
37854,6
37854,8
61889,4
61889,2
61889,3
62688,2
62688,1
62688,3
2004,7
2004,6
1434,8
1434,6
66788,2
66788,5
2190,8
2190,6
87739,2
34524,1
34524,2
4604,1
4604,3
4604,2
90462,4
90462,1
90462,2
95557,8
95557,1
95557,3
95557,2
60797,3
60797,2
60797,4
91363,8
91363,3
91363,1
1405,4
1405,2
1405,5
4607,5
4607,3
13916,8
13916,5
13916,1
246,8
246,3
246,1
2316,6
4057,4
4057,2
4057,5
94997,1
94997,2
94997,3
2734,4
2734,2
2734,5
5920,4
5920,2
5920,5
46331,2
46331,5
46331,1
43348,4
43348,2
94605,8
94605,2
94605,1
94605,3
99966,3
99966,2
99966,1
79242,5
79242,1
79242,2
1403,2
1403,1
1403,3
63926,3
63926,8
63926,6
80213,5
80213,4
80213,2
71886,1
71886,2
60708,2
60708,4
60708,1
16286,10
16286,6
16286,2
46896,1
46896,2
46896,5
4613,2
4613,9
104877,2
104877,6
1911,4
1911,2
88329,2
88329,6
88329,3
80020,8
80020,3
80020,1
48891,6
48891,4
39351,2
39351,5
39351,1
615,8
615,6
615,1
2691,6
2691,2
46952,2
46952,4
46952,5
86831,8
86831,1
19614,5
19614,2
95479,8
95479,3
95479,1
12609,8
12609,3
12609,1
78191,2
46648,2
74577,6
74577,2
74577,4
44953,4
44953,2
44953,10
79460,1
79460,2
387,8
387,6
387,7
387,1
4087,1
4087,5
4087,4
67335,3
67335,4
67335,2
67335,5
57243,3
57243,2
57243,1
60866,2
60866,4
60866,1
1409,4
1409,2
67915,2
67915,1
67915,6
40075,8
40075,6
40075,5
40075,1
40075,12
63351,4
63351,2
75450,3
75450,1
75450,2
15260,8
15260,6
15260,1
69478,2
69478,1
31917,2
31917,5
1425,2
56570,2
56570,1
92749,3
92749,1
92749,5
1421,6
110492,3
110492,1
110492,2
62455,2
62710,4
62710,2
62710,3
70881,3
70881,8
1398,2
27240,13
60622,4
60622,2
34307,2
34307,6
102903,2
113988,4
113988,2
115036,3
115036,1
1424,6
1424,2
84773,3
84773,1
84773,2
67178,3
67178,4
67178,2
46296,2
58841,4
58841,2
62127,3
62127,2
62127,1
95594,8
95594,3
95594,12
95594,7
75219,2
75219,4
75219,3
80752,2
80752,1
80752,3
1705,1
1705,2
1705,5
62643,3
62643,1
62643,2
71728,6
71728,7
16997,2
16997,3
16997,9
40008,2
40008,4
67744,2
67744,4
61222,8
61222,6
61222,2
61374,3
61374,8
61374,2
61374,5
1981,6
1981,2
1981,5
1981,1
38472,1
38472,2
63639,2
63639,5
63639,1
1892,6
1892,7
95057,1
95057,2
4614,4
4614,2
4614,3
91239,2
1639,1
1639,2
44006,2
1407,2
1407,9
154521,14
69740,4
69740,2
45871,2
72844,5
72844,2
39272,2
39272,1
52814,3
52814,1
11250,2
1438,4
1438,2
90239,2
105,6
1433,8
1433,6
96815,13
1395,2
1395,5
35610,8
35610,1
35610,3
35610,6
35610,5
89641,2
89641,1
33880,3
33880,8
33880,2
33880,7
33880,1
1437,2
1437,3
1437,1
96677,4
96677,2
96677,5
92783,6
92783,1
71914,1
71914,2
65494,2
31132,8
31132,6
12697,8
12697,3
12697,1
1920,2
1920,5
31586,2
31586,4
73586,11
73586,2
4194,3
4194,8
4194,1
31911,3
31911,8
31911,1
93741,8
93741,12
93741,3
2038,6
90802,1
90802,2
63401,7
63401,6
63401,8
63401,12
47,6
47,7
71915,1
71915,6
71915,2
76121,8
77606,8
77606,3
77606,6
77606,12
12926,10
12926,2
1400,6
90260,2
90260,6
90260,1
110316,2
110316,5
110316,3
68421,1
61550,2
61550,1
10545,1
10545,2
10545,5
45950,8
45950,3
45950,6
45950,1
1419,2
1419,4
47640,1
47640,2
47640,5
693,5
693,2
693,6
62046,5
62046,4
62046,6
30984,3
30984,8
30984,1
16420,6
16420,2
45782,8
45782,1
45782,3
62126,2
62126,1
62126,3
62126,4
31356,7
31356,6
31356,12
100883,6
100883,2
4556,6
80743,2
80743,6
97180,2
67198,1
67198,3
1606,1
1606,5
1606,2
60572,8
60572,3
60572,1
42035,3
42035,5
42035,2
85949,1
85949,3
32798,4
32798,2
32798,3
31251,6
31251,7
95,1
95,6
95,2
95,3
64432,2
64432,1
114868,8
114868,3
114868,1
4686,8
4686,3
4686,6
4686,1
63333,3
63333,2
63333,9
1411,2
1411,3
1411,4
1411,1
97186,6
97186,2
46298,3
46298,8
46298,2
71411,2
1415,2
1415,5
1415,4
1620,2
1620,5
1620,4
120089,8
120089,6
120089,3
71740,6
18347,6
46786,2
46786,4
46786,5
46639,2
46639,5
46639,1
112888,6
112888,2
79744,4
79744,2
68507,1
68507,2
61056,4
61056,2
61056,5
89247,1
89247,3
74428,2
62264,6
62264,3
62264,1
890,1
890,8
890,2
72305,8
72305,2
72305,5
61664,1
61664,2
75758,1
75758,3
75758,2
117581,6
117581,2
2098,3
2098,8
2098,2
2098,5
86430,2
86430,4
80240,2
30991,8
30991,3
30991,1
30991,11
79699,10
79699,2
92685,8
92685,1
92685,2
92685,3
92685,6
60573,6
92830,1
92830,3
39340,6
58474,13
60743,3
60743,2
60743,1
4629,1
4629,3
4629,5
72637,6
72637,7
92396,2
71789,3
71789,2
71789,9
76773,2
76773,3
153312,4
153312,2
69629,1
69629,3
69629,2
100834,2
85723,1
85723,2
1972,1
1972,3
1972,2
2085,7
2085,1
2085,8
2085,6
100049,8
100049,6
5371,6
5371,7
5371,12
1973,3
1973,2
90461,7
90461,6
90461,8
8358,4
8358,2
8358,5
66573,1
66573,6
79696,2
79696,5
79696,1
67136,6
67136,2
97175,1
97175,2
87784,2
87784,5
87784,4
66292,2
64464,2
64464,1
94667,13
655,1
655,3
655,2
655,5
84661,5
84661,2
84661,4
97546,6
97546,2
89456,3
89456,8
89456,2
52,6
52,7
52,2
8592,6
37606,8
37606,7
37606,1
37606,6
62285,1
62285,3
62285,4
86031,3
86031,8
61923,3
61923,8
61923,6
61923,1
114410,8
114410,3
114410,1
114410,6
45790,8
45790,3
45790,1
73375,3
73375,2
73375,9
67195,3
67195,1
103768,2
103768,1
1420,6
61617,5
61617,1
61617,8
61617,7
61617,6
71790,4
71790,3
71790,2
79501,1
79501,2
21510,4
21510,2
21510,5
85720,2
85720,1
126280,6
126280,2
128839,2
128839,1
128839,3
79788,4
79788,2
79788,3
79788,1
57706,6
57706,3
57706,8
57706,1
58450,2
115857,6
115857,2
4589,6
47665,2
47665,3
96462,2
96462,6
2490,6
80623,8
80623,3
80623,4
80623,2
83095,8
83095,3
83095,1
83095,2
4616,2
4616,3
4616,1
80968,2
80968,4
54671,1
54671,2
54671,5
54671,3
45815,2
45815,5
45815,10
45815,4
82596,2
82596,6
74016,2
4327,6
4327,7
65844,3
65844,8
65844,6
65844,1
79525,13
60863,8
60863,6
60863,2
42444,8
42444,2
42444,3
120168,2
120168,4
120168,5
54650,4
54650,2
2384,3
2384,2
2384,1
67070,6
67070,2
253,1
253,2
4336,8
4336,6
42671,8
42671,1
42671,2
56296,2
56296,1
76719,1
76719,2
107113,6
107113,5
107113,4
86423,1
86423,2
86423,5
72750,4
72750,2
115004,2
115004,5
115004,4
87689,3
87689,2
87689,1
62017,1
62017,2
1891,3
1891,2
65708,2
65708,5
71024,8
71024,1
900,2
900,6
79680,1
31268,4
31268,2
13027,10
10283,6
10283,3
10283,8
604,8
604,3
96648,2
96648,1
82739,8
82739,6
82739,5
17610,3
17610,2
17610,4
17610,5
34967,3
34967,1
5451,3
5451,2
1431,4
1431,2
1431,5
61175,8
61175,6
61175,3
61175,7
61175,1
90027,1
18011,6
18011,7
62823,2
62823,4
62823,5
61459,8
61459,2
61459,1
61459,3
124834,2
94305,2
94305,1
94305,5
80986,1
80986,3
80986,2
90937,8
90937,2
90937,5
61852,6
61852,7
61852,12
63407,10
63407,6
63407,2
105009,2
105009,8
105009,3
105009,4
41727,4
41727,2
1104,2
31072,6
83100,8
83100,3
69061,1
69061,5
69061,2
70828,2
70828,4
7842,8
7842,6
7842,12
7842,7
4574,12
4574,1
4574,8
4574,3
66203,10
66203,12
73481,6
73481,2
64230,1
64230,5
64230,2
90669,5
90669,2
62650,2
2352,6
105248,3
105248,8
105248,1
102966,2
102966,6
86248,6
86248,1
4658,7
4658,6
4658,2
62914,6
62914,2
81354,5
81354,2
81354,4
6040,8
6040,1
6040,3
33217,8
33217,1
33217,3
93740,1
93740,2
71738,2
71738,6
71738,1
67075,8
67075,3
67075,6
1778,2
1778,6
68267,7
68267,8
68267,3
68267,6
68267,1
83097,8
83097,5
83097,1
83097,3
83097,2
83097,4
5178,2
1215,6
1215,2
605,6
605,7
605,1
605,12
60948,1
60948,2
2309,3
2309,8
2309,6
2309,1
71578,2
71578,6
66084,14
89393,2
89393,3
89393,4
109958,5
109958,2
79649,1
79649,5
79649,2
1044,13
74204,6
74204,8
125910,2
62110,8
62110,6
62110,3
62110,1
4313,6
4313,7
74440,1
74440,8
74440,4
74440,3
34391,12
34391,3
34391,8
34391,6
98986,8
98986,6
63109,2
63109,15
63109,16
63109,10
2710,6
131927,2
131927,4
92782,1
92782,3
92782,6
65249,8
65249,2
65249,5
79240,5
79240,1
79240,2
888,8
888,3
73021,8
73021,6
73021,3
73021,1
50825,2
50825,5
50825,1
92967,2
12313,1
12313,2
39852,4
39852,2
91557,1
91557,2
91557,5
81146,3
81146,4
81146,2
1600,7
1600,6
1621,4
1621,2
89905,2
18123,8
18123,5
18123,7
1426,4
1426,2
1426,5
63210,3
63210,2
63210,1
2290,1
2290,3
2290,2
93812,2
93812,6
1695,6
1695,4
1695,2
1695,5
43899,2
61223,8
61223,2
61223,3
3763,1
3763,6
3763,7
80350,2
4239,6
4239,2
897,8
897,6
897,7
1404,3
1404,6
1404,2
4500,6
4500,2
4500,7
252,6
252,7
252,12
42589,8
42589,2
42589,5
64513,4
64513,2
66276,4
66276,2
66276,5
61663,8
61663,6
61663,2
2317,6
46261,8
46261,3
46261,6
46261,5
46261,1
1516,3
1988,8
1988,1
1988,3
80169,2
80169,6
82747,8
82747,12
82747,7
82747,3
42705,8
42705,6
42705,2
42705,3
61859,2
61859,5
61859,4
70593,2
70593,5
18350,2
83125,3
83125,1
54344,1
54344,2
33907,2
3570,3
3570,8
3570,2
3570,1
60802,3
60802,2
60802,1
4630,8
4630,6
4630,12
4630,1
14141,3
14141,2
14141,1
97513,2
97513,5
4586,6
4586,2
14814,14
64122,3
64122,1
83867,1
83867,3
83867,2
67133,2
67133,3
89901,6
89901,2
98387,10
76331,2
902,8
902,12
902,3
2426,1
2426,2
95396,2
95396,5
95396,1
67026,2
67026,9
67466,3
67466,4
67466,2
67466,1
72002,2
72002,10
1274,2
63767,6
63767,2
7225,3
7225,2
7225,1
1781,11
1781,2
1781,7
607,3
607,8
607,6
607,12
96316,8
96316,6
66330,2
66330,1
