creator_name,creator_id
David Benioff,1
D.B. Weiss,2
Álex Pina,3
Matt Duffer,4
Ross Duffer,5
Frank Darabont,6
Tom Kapinos,7
Roberto Aguirre-Sacasa,8
Hwang Dong-hyuk,9
Vince Gilligan,10
David Shore,11
Jac Schaeffer,12
Greg Berlanti,13
Geoff Johns,14
Andrew Kreisberg,15
Chuck Lorre,16
Bill Prady,17
Michael Waldron,18
Shonda Rhimes,19
Jon Favreau,20
Matt Groening,21
Sam Levinson,22
Steve Blackman,23
Steven Knight,24
Carlos Montero,25
Darío Madrona,26
Eric Kripke,27
Dan Harmon,28
Justin Roiland,29
Kevin Williamson,30
Julie Plec,31
Malcolm Spellman,32
Jason Rothenberg,33
Miles Millar,34
Alfred Gough,35
Marta Kauffman,36
David Crane,37
Laurie Nunn,38
Michael Hirst,39
Baran bo Odar,40
Jantje Friese,41
Jon Hurwitz,42
Hayden Schlossberg,43
Josh Heald,44
Marc Guggenheim,45
Craig Mazin,46
Ryan Murphy,47
Brad Falchuk,48
Lauren Schmidt Hissrich,49
Cris Morena,50
Jonathan Nolan,51
Lisa Joy,52
Nick Antosca,53
Michelle Dean,54
Mark Gatiss,55
Steven Moffat,56
Dave Erickson,57
Robert Kirkman,58
Paul Scheuring,59
Aaron Korsh,60
Moira Walley-Beckett,61
Charlie Brooker,62
Carter Bays,63
Craig Thomas,64
Peter Gould,65
Thomas Astruc,66
Leticia López Margalli,67
Sam Esmail,68
Akira Toriyama,69
Neil Druckmann,70
Drew Goddard,71
Ali Adler,72
Linwood Boomer,73
Seth MacFarlane,74
Brian Yorkey,75
Trey Parker,76
Matt Stone,77
Scott Frank,78
Allan Scott,79
Jeff Davis,80
David Kirschner,81
Don Mancini,82
Nick Santora,83
James Manos,84
Jr.,85
J.J. Abrams,86
Damon Lindelof,87
Jeffrey Lieber,88
Michael Dante DiMartino,89
Bryan Konietzko,90
Ricky Gervais,91
Stephen Merchant,92
Greg Daniels,93
George R. R. Martin,94
Ryan Condal,95
Dick Wolf,96
Bruno Heller,97
Brian K. Vaughan,98
Christian Linke,99
Alex Yee,100
Chun Sung-il,101
JQ Lee,102
Kim Nam-soo,103
Joss Whedon,104
Jed Whedon,105
Maurissa Tancharoen,106
James DeMonaco,107
Eric Wald,108
Nick Copus,109
Dean White,110
Fernando Gaitán,111
Ayse Uber Kutlu,112
Hart Hanson,113
Jonathan Igla,114
Michael Schur,115
Daniel J. Goor,116
Jim Kouf,117
Stephen Carpenter,118
David Greenwalt,119
Lee Aronsohn,120
Jon Bokenkamp,121
Tim Miller,122
Stephen King,123
Sera Gamble,124
Nic Pizzolatto,125
Jonathan Entwistle,126
Mauricio Ochmann,127
Mariano Calasso,128
Luis Zelkowicz,129
Stephen Hillenburg,130
Chris Carter,131
Gustavo Bolívar,132
Sydney Newman,133
Donald Wilson,134
C. E. Webber,135
Rob Thomas,136
Diane Ruggiero,137
Kurt Sutter,138
Kim Eun-sook,139
Lee Eung-bok,140
Alex Hirsch,141
Chris Brancato,142
Doug Miro,143
Carlo Bernard,144
Akiva Goldsman,145
Pendleton Ward,146
Bruce Miller,147
I. Marlene King,148
Beau Willimon,149
Ronald D. Moore,150
Jeremy Slater,151
Christopher Lloyd,152
Steven Levitan,153
James Gunn,154
Iván Escobar,155
Daniel Écija,156
Esther Martínez Lobato,157
Martin Gero,158
David Chase,159
Noah Hawley,160
John Wells,161
Paul Abbott,162
Adriana Pelusi,163
Carlos Quintanilla Sakar,164
Miguel García Moreno,165
Ian Brennan,166
Jenji Kohan,167
John D. Payne,168
Patrick McKay,169
Steve Lightfoot,170
Steven S. DeKnight,171
Matt Olmstead,172
Scott Buck,173
Alex Kurtzman,174
Roberto Orci,175
Phil Klemmer,176
Steven Molaro,177
Bruce C. McKenna,178
Bryan Fuller,179
Joe Penhall,180
Raphael Bob-Waksberg,181
Constance M. Burge,182
Melissa Rosenberg,183
Mark Fergus,184
Hawk Ostby,185
Andy Borowitz,186
Susan Borowitz,187
Todd Helbing,188
Donald P. Bellisario,189
Don McGill,190
Chris Van Dusen,191
Tim Kring,192
Michael Brandt,193
Derek Haas,194
Gideon Raff,195
Howard Gordon,196
Alex Gansa,197
Mark Williams,198
Bill Dubuque,199
Mike Flanagan,200
Edward Kitsis,201
Adam Horowitz,202
Kyle Killen,203
Steven Kane,204
Julio Jiménez,205
David Simon,206
Marisa Quiroga,207
Darren Star,208
Mike Barker,209
Matt Weitzman,210
Josh Schwartz,211
Stephanie Savage,212
Rumiko Takahashi,213
Yu Bo-ra,214
George Kay,215
Marie Roussin,216
Florent Meyer,217
François Uzan,218
Tigran Rosine,219
Jessica Gao,220
Rafe Judkins,221
Peter Morgan,222
J.G. Quintel,223
David Lynch,224
Mark Frost,225
John Linson,226
Taylor Sheridan,227
George Lucas,228
Zack Stentz,229
Dan Schneider,230
David S. Goyer,231
Neil Gaiman,232
Allan Heinberg,233
Daniel Chong,234
Roberto Gómez Bolaños,235
Brandon Sawyer,236
Ximena Suárez,237
Jerry Seinfeld,238
Larry David,239
Christy Hall,240
Yoshiki Watanabe,241
Yasuko Kuramitsu,242
Laeta Kalogridis,243
Christopher Markus,244
Stephen McFeely,245
Alan Ball,246
Ishibumi Ichiei,247
Andrew W. Marlowe,248
Guillermo del Toro,249
Carlton Cuse,250
Marc Cherry,251
Dante Di Loreto,252
Yoon Ji-ryun,253
Jeon Ki-sang,254
Reki Kawahara,255
Tomohiko Ito,256
Cheo Hodari Coker,257
Scott Fellows,258
Mindy Kaling,259
Lang Fisher,260
Bill Lawrence,261
Lauren Gussis,262
Moisés Zamora,263
John Gray,264
Michael Chabon,265
Kirsten Beyer,266
Peter M. Lenkov,267
Joe Kelly,268
Duncan Rouleau,269
Steven T. Seagle,270
Joe Casey,271
Stephen Butchard,272
Isaac Aptaker,273
Elizabeth Berger,274
Yoshihiro Togashi,275
Ernesto Contreras,276
Carlos Contreras,277
José Manuel Cravioto,278
Daniel Posada,279
Silvana Aguirre Zegarra,280
Robert Doherty,281
Anthony Zuiker,282
Ann Donahue,283
Carol Mendelsohn,284
Gustavo Loza,285
Anthony Cipriano,286
Kerry Ehrin,287
Michael Green,288
Yaongyi,289
Alexi Hawley,290
Peter Nowalk,291
Caroline Dries,292
Sam Raimi,293
Lilly Wachowski,294
Lana Wachowski,295
J. Michael Straczynski,296
Irwin Allen,297
Sarah Lampert,298
Bruce Timm,299
Eric Radomski,300
Peter Moffat,301
Andrés Salgado,302
Dana Terrace,303
Mike Judge,304
John Altschuler,305
Dave Krinsky,306
Michael Patrick King,307
Whitney Cummings,308
Ann Druyan,309
Steven Soter,310
Daniel Cerone,311
Brad Wright,312
Jonathan Glassner,313
Jorge Edelstein,314
Benjamin Cavell,315
Stacy McKee,316
Matt Nix,317
Javier Ambrossi,318
Javier Calvo,319
Aaron Guzikowski,320
Glen A. Larson,321
John R. Dilworth,322
Robert Cochran,323
Joel Surnow,324
Roberts Gannaway,325
Sam Baum,326
Jeff Rake,327
Dan Fogelman,328
Brian Young,329
Mark Bomback,330
David E. Kelley,331
Gene Roddenberry,332
Richard Price,333
Jason Sudeikis,334
Brendan Hunt,335
Genndy Tartakovsky,336
Bonnie Turner,337
Terry Turner,338
Mark Brazill,339
Ben Bocquelet,340
Douglas Petrie,341
Marco Ramirez,342
Daron Nefcy,343
Graham Roland,344
Jim Mickle,345
Elizabeth Meriwether,346
Patrick McHale,347
Aaron Rahsaan Thomas,348
Shawn Ryan,349
Jeremy Carver,350
Jeff Eastin,351
Eric Heisserer,352
Stacy Rukeyser,353
David Appelbaum,354
Caridad Bravo Adams,355
Fernando Sariñana,356
Carolina Rivera,357
Mitchell Hurwitz,358
Jonathan E. Steinberg,359
Robert Levine,360
Park Shin-woo,361
Jo Yong,362
Graham Linehan,363
Robert Tapert,364
John Schulian,365
John Logan,366
João Emanuel Carneiro,367
Amy Holden Jones,368
Hayley Schore,369
Roshan Sethi,370
Richard Curtis,371
Rowan Atkinson,372
Michael Tollin,373
José Ignacio Valenzuela,374
Courtney Kemp Agboh,375
Vladimir Cvetko,376
Phoebe Waller-Bridge,377
Dave Jeser,378
Matthew Silverstein,379
John Fawcett,380
Graeme Manson,381
Jannik Tai Mosholt,382
Christian Potalivo,383
Esben Toft Jacobsen,384
Steve Martin,385
John Robert Hoffman,386
Meredith Averill,387
Aron Eli Coleite,388
Brad Ingelsby,389
Simon Barry,390
Frank Spotnitz,391
John Milius,392
William J. MacDonald,393
Tom Hardy,394
Chips Hardy,395
Warren Ellis,396
Bryan Elsley,397
Jamie Brittain,398
Josh Friedman,399
Gustavo Bolívar Moreno,400
Adam Reed,401
Sam Register,402
Glen Murakami,403
Shane Brennan,404
Robert Rodat,405
Rebecca Sugar,406
Travis Beacham,407
René Echevarria,408
Eugenio Derbez,409
Jill E. Blotevogel,410
Jay Beattie,411
Dan Dworkin,412
Alice Oseman,413
Scott M. Gimple,414
Matthew Negrete,415
Dana Olsen,416
Alejandro Pohlenz,417
Marcia del Río,418
Pablo Ferrer García-Travesí,419
David Schickler,420
Jonathan Tropper,421
Matthew Weiner,422
Brit Marling,423
Zal Batmanglij,424
Joseph Barbera,425
William Hanna,426
Sidney Iwanter,427
Eric Lewald,428
Mark Edward Wright,429
Karol Sevilla,430
Seth Rogen,431
Evan Goldberg,432
Sam Catlin,433
Fran Drescher,434
Peter Marc Jacobson,435
Rafał Jaki,436
Ricardo Alvarez Canales,437
Tom Patchett,438
Paul Fusco,439
Héctor Lozano,440
Evan Romansky,441
Dwayne McDuffie,442
Greg Weisman,443
Brandon Vietti,444
Nell Scovell,445
Travis Fickett,446
Terry Matalas,447
Butch Hartman,448
Robia Rashid,449
Tim Minear,450
David O'Leary,451
David Attenborough,452
Vanessa Berlowitz,453
Gary Parker,454
Jennifer Flackett,455
Mark Levin,456
Nick Kroll,457
Andrew Goldberg,458
Lars Beckung,459
Lisa Ambjörn,460
Camilla Holter,461
Jeff Franklin,462
Dean Lorey,463
Patrick Schumacker,464
Justin Halpern,465
Vivian de Oliveira,466
Rob McElhenney,467
Clyde Phillips,468
Bisha K. Ali,469
Mark Verheiden,470
Gary Dauberman,471
John Semper Jr.,472
Len Wiseman,473
Phillip Iscove,474
Yusuf Pirhasan,475
Pınar Bulut,476
Onur Koralp,477
Derek Simonds,478
Adam Price,479
Emilie Lebech Kaae,480
Terence Winter,481
Tony Cervone,482
Spike Brandt,483
Mitch Watson,484
Neil Cross,485
Ed Decter,486
Robert C. Cooper,487
Tony McNamara,488
Andy Breckman,489
Michael Jacobs,490
Bob Young,491
David Schulner,492
Michael G. Moye,493
Ron Leavitt,494
Maxwell Atoms,495
Carol Black,496
Neal Marlens,497
Chris Rock,498
Ali LeRoi,499
Scott Alexander,500
Larry Karaszewski,501
Tom Rob Smith,502
Sarah Burgess,503
Steven Zaillian,504
Greg Garcia,505
Stephen J. Cannell,506
Frank Lupo,507
Tobin Wolf,508
Manolo Caro,509
Leo Birenberg,510
Owen Elliott,511
David Farr,512
Kim Eun-hee,513
Frank Miller,514
Tom Wheeler,515
Tom Perrotta,516
Julian Fellowes,517
Hank Steinberg,518
Kenneth Johnson,519
Laura Belloso,520
Asier Anduenza,521
Amy Sherman-Palladino,522
Ryan Seacrest,523
Eliot Goldberg,524
Tony Gilroy,525
Alena Smith,526
Yolanda Vargas Dulché,527
Leonardo Padrón,528
Jesse Armstrong,529
Dan Erickson,530
David Guggenheim,531
Sallie Patrick,532
Julian Jones,533
Jake Michie,534
Johnny Capps,535
Julian Murphy,536
Ed Friendly,537
Laura Ingalls Wilder,538
Craig McCracken,539
Song Jae-jung,540
Dave Filoni,541
Jim Dauterive,542
Loren Bouchard,543
Craig Bartlett,544
Simon Kinberg,545
David Weil,546
Salim Akil,547
Howard Overman,548
Neil LaBute,549
Michael Piller,550
Rick Berman,551
Jeri Taylor,552
Ryu Yong-jae,553
Lee Sang-yeop,554
Scott B. Smith,555
SOUR Bangkok,556
Nobutaka Nishizawa,557
Takehiko Inoue,558
Jorge Ortiz de Pinedo,559
Pedro Ortiz de Pinedo,560
Rod Serling,561
Joseph Weisberg,562
Jennie Snyder Urman,563
Steven Dodd,564
Yeon Sang-ho,565
Choi Gyu-seok,566
Brian Koppelman,567
David Levien,568
Andrew Ross Sorkin,569
Timur Savcı,570
Dennis Heaton,571
Shelley Eriksen,572
Barry Sonnenfeld,573
Daniel Handler,574
Duncan Trussell,575
Will Forte,576
Tim Federle,577
Craig Engler,578
Karl Schaefer,579
David Sacks,580
Olan Rogers,581
Laurie McCarthy,582
Stephanie Sengupta,583
Asaph Fipke,584
Edward Berger,585
Craig Sweeny,586
Robin Green,587
Mitchell Burgess,588
Park Ji-eun,589
Jang Tae-yoo,590
John Rogers,591
Kyle Bradstreet,592
Andrea De Sica,593
Giacomo Mazzariol,594
Antonio Le Fosse,595
Marco Raspanti,596
Eleonora Trucchi,597
Romolo Re Salvador,598
Inés Rodena,599
Emily Andras,600
Yang Hee-seung,601
Oh Hyun-jong,602
Kim Soo-jin,603
Dave Stewart,604
Will Carsola,605
Michael Crichton,606
Satou Shouji,607
Carrie Beck,608
Lee David Zlotoff,609
Allan Cubitt,610
Kim Jin-min,611
Kim Ba-da,612
Josh Pate,613
Jonas Pate,614
Shannon Burke,615
Ilene Chaiken,616
Craig Turk,617
Steve Oedekerk,618
John A. Davis,619
Cem Karcı,620
Banu Akdeniz,621
Sümeyye Ezel,622
Jed Mercurio,623
John Griffin,624
Chris Chibnall,625
Gardner Fox,626
Dan Povenmire,627
Jeff 'Swampy' Marsh,628
Bill Hader,629
Alec Berg,630
Chad Hodge,631
Stephen Levinson,632
Paul Mullie,633
Joseph Mallozzi,634
Cary Joji Fukunaga,635
Patrick Somerville,636
Sidney Sheldon,637
Lee Daniels,638
Danny Strong,639
David Milch,640
Ava DuVernay,641
Marti Noxon,642
Stan Lee,643
Steve Ditko,644
Kelly Marcel,645
Craig Silverstein,646
Todd J. Greenwald,647
Philipp Käßbohrer,648
Matthias Murmann,649
Elgin James,650
ND Stevenson,651
Mike Kelley,652
Brannon Braga,653
Julie Andem,654
Ann Biderman,655
Steve Franks,656
Jeb Stuart,657
Shuki Levy,658
Haim Saban,659
Homer,660
Andrei Konchalovsky,661
Max Landis,662
David Clark Lee,663
Peter Casey,664
David Angell,665
Stewart Hendler,666
Tony Basgallop,667
Marcela Citterio,668
Kary Fajer,669
Enrique Estevanez,670
Michael Hegner,671
Tommy Andreasen,672
Natasha Lyonne,673
Amy Poehler,674
Leslye Headland,675
Steven Maeda,676
Matt Owens,677
Keith Chapman,678
Iro Aida,679
Danny Antonucci,680
Veena Sud,681
Hilal Saral,682
Christian Torpe,683
Miguel Tejada-Flores,684
Nicolás Entel,685
Aaron Spelling,686
Jeremy Clarkson,687
Andy Wilman,688
Derek Smith,689
Ken Spears,690
Joe Ruby,691
Scott Thomas,692
Shion Takeuchi,693
Alisha Brophy,694
Tom Warburton,695
Steven Spielberg,696
Tom Ruegger,697
Matthew Miller,698
Kevin Eastman,699
Peter Laird,700
Ku Xuan,701
Paul Feig,702
Sol Saks,703
Tom Fontana,704
Christopher L. Yost,705
Joshua Fine,706
Ciro Nieli,707
Scott Peters,708
Jeremy Haft,709
Eddie Gonzalez,710
Lauren Iungerich,711
Carlos Villegas Rosales,712
Gin Han-sai,713
Gábor Csupó,714
Paul Germain,715
Arlene Klasky,716
Victor Fresco,717
Claes Bang,718
Richard Hammond,719
James May,720
Pamela Eells,721
John Cleese,722
Connie Booth,723
Graham Yost,724
Kim Hong-sun,725
Kim Hwan-chae,726
Choi Sung-joon,727
Rich Correll,728
Barry O'Brien,729
Michael Poryes,730
Mara Escalante,731
Jo Soo-won,732
Donald Glover,733
Enrique Videla,734
Sergio Castro San Martín,735
Camilo Salazar Prince,736
Pablo Gonzalez,737
Misha Green,738
Sam Bobrick,739
Chris Sanders,740
Sandro Corsaro,741
Danny Kallis,742
Jim Geoghan,743
Joshua Safran,744
Tina Fey,745
Yoo In-sik,746
Moon Ji-won,747
Mike White,748
John Oliver,749
John Hlavin,750
David M. Stern,751
Devin Clark,752
Josh Boone,753
Jymn Magon,754
Eileen Heisler,755
DeAnn Heline,756
Richard Levinson,757
William Link,758
Declan de Barra,759
Sander Schwartz,760
Jonathan M. Shiff,761
Chris Sheridan,762
Jane Espenson,763
D. Brent Mote,764
Christopher Storer,765
Fujiko F. Fujio,766
Shinichiro Watanabe,767
Larry Gelbart,768
Alberto Cortés,769
José Rendón,770
Rosy Ocampo,771
Eduardo Meza,772
Lauren Faust,773
Kyoko Mizuki,774
Molly Smith Metzler,775
Masami Kurumada,776
Shiori Teshirogi,777
Bart Nickerson,778
Ashley Lyle,779
Steve Carell,780
Jay Carson,781
Andrew Cosby,782
Jaime Paglia,783
Dan Cross,784
David Hoge,785
Lee Jung-hyo,786
Ian MacNaughton,787
John Howard Davies,788
He Xiaofeng,789
Michael J. Weithorn,790
David Litt,791
Joe Pokaski,792
Kendall Rogers,793
Matt Williams,794
Carmen Finestra,795
David McFadzean,796
César Benítez,797
Juan Carlos Cueto,798
Rocío Martínez,799
Alexa Karolinski,800
Anna Winger,801
Heather Conkie,802
Glenn Eichler,803
Susie Lewis,804
D. J. MacHale,805
Ned Kandel,806
Justin Spitzer,807
Jed Spingarn,808
Andrés López López,809
Park Eun-kyo,810
Choi Hang-yong,811
Jemaine Clement,812
Arne Nolting,813
Jan Martin Scharf,814
Andreas Heckmann,815
Boo Kyoung Kim,816
Calvin Kim,817
Wes Tooke,818
Roberto Stopello,819
Van Partible,820
Jung Hyun-jung,821
Aaron Ehasz,822
Justin Richmond,823
Jonathan Brackley,824
Sam Vincent,825
Eddie Gorodetsky,826
Gemma Baker,827
Yuyuko Takemiya,828
Perla Farías,829
Aaron Sorkin,830
Verity Lambert,831
R.L. Stine,832
Yoko Kamio,833
Angie Chai,834
Lin He Long,835
Jenna Bans,836
Glen Charles,837
Les Charles,838
James Burrows,839
Kenn Navarro,840
Rhode Montijo,841
Aubrey Ankrum,842
Craig Gerber,843
Hans Rosenfeldt,844
Philip Rosenthal,845
Dean DeBlois,846
Scott Rosenberg,847
Josh Appelbaum,848
Jeff Pinkner,849
André Nemec,850
Go Nagai,851
Ben Nedivi,852
Matt Wolpert,853
Hugo León Ferrer,854
Dustin Thomason,855
Sam Shaw,856
Bob Peterson,857
Pete Docter,858
Alex Garland,859
Mr. Lawrence,860
Vincent Waller,861
Kaz,862
Luke Brookshier,863
Marc Ceccarelli,864
Andrew Goodman,865
Susannah Grant,866
Kate Brooke,867
Michelle King,868
Robert King,869
Christopher Keyser,870
Gabrielle G. Stanton,871
Jenny Han,872
An Gil-ho,873
Hong Mi-ran,874
Hong Jeong-eun,875
Kentaro Miura,876
Zack Whedon,877
Peter Rees,878
Kim Cheol-kyu,879
Yoo Jung-hee,880
Gareth Evans,881
Matt Flannery,882
William Dozier,883
Lorenzo Semple Jr.,884
William Broyles Jr.,885
David Broyles,886
Paul Eckstein,887
Glenn Gordon Caron,888
Halid Ziya Uşaklıgil,889
Doug Ellin,890
Eric Overmyer,891
Paolo Sorrentino,892
Robert Carlock,893
Steve Yockey,894
John Hyams,895
Daniel Lipman,896
Ron Cowen,897
Tong Hua,898
Rachel Shukert,899
Liliana Abud,900
Delia Fiallo,901
Søren Sveistrup,902
Mikkel Serup,903
David Sandreuter,904
Dorte Warnøe Høgh,905
Teco Lebrija,906
Arturo Navarro,907
Paul Haggis,908
Albert S. Ruddy,909
Christian Williams,910
Lizz Winstead,911
Madeleine Smithberg,912
Dennis Kelly,913
Choi Yoo-Jung,914
Jang Yoo-Yeon,915
April Kelly,916
Rockne S. O'Bannon,917
Will Davies,918
Brian McGreevy,919
J.H. Wyman,920
Sue Tenney,921
Pedro Damián,922
Danny Bilson,923
Paul De Meo,924
Alan Zaslove,925
Tad Stones,926
Yu Je-won,927
Shin Ha-eun,928
Rebecca Sonnenshine,929
Steven Canals,930
Russell T Davies,931
Jeff Goode,932
Chris Savino,933
Jason George,934
Carlos Romero,935
Eliot Laurence,936
M. A. Lovretta,937
Umanosuke Iida,938
Peyo,939
Andrew Dabb,940
Ramón Campos,941
Gema R. Neira,942
Teresa Fernández-Valdés,943
Dennis Lehane,944
Dylan Moran,945
Louis C.K.,946
Guillermo García Carsí,947
David Cantolla,948
Luis Gallego,949
Seth Green,950
Matthew Senreich,951
Miki Brewster,952
Samuel Bodin,953
Kevin Murphy,954
Michael Taylor,955
Liz Feldman,956
Franco Zeffirelli,957
Joe Ansolabehere,958
Charley Parlapanides,959
Vlas Parlapanides,960
John Fusco,961
Aziz Ansari,962
Alan Yang,963
Arturo Pérez-Reverte,964
Claudia Sánchez,965
Catalina Coy,966
Jörg Hiller,967
Alejandro Aimetta,968
David Jasqui,969
Dariela Pérez Hernández,970
Sarah Streicher,971
Pablo Larraín,972
Mark McCorkle,973
Bob Schooley,974
Max Mutchnick,975
David Kohan,976
Stanley Ralph Ross,977
April Blair,978
Moira Demos,979
Laura Ricciardi,980
David Feiss,981
Matthew Graham,982
Emma Frost,983
Han Sang-un,984
Jon Turteltaub,985
