date_id,full_date,year,month,day,quarter
1,1917-01-09,1917,1,9,1
2,1921-01-01,1921,1,1,1
3,1921-07-09,1921,7,9,3
4,1934-01-19,1934,1,19,1
5,1936-04-06,1936,4,6,2
6,1936-11-03,1936,11,3,4
7,1936-12-05,1936,12,5,4
8,1936-12-29,1936,12,29,4
9,1938-07-12,1938,7,12,3
10,1938-08-01,1938,8,1,3
11,1938-08-09,1938,8,9,3
12,1939-03-31,1939,3,31,1
13,1940-02-10,1940,2,10,1
14,1941-01-01,1941,1,1,1
15,1941-04-09,1941,4,9,2
16,1941-07-01,1941,7,1,3
17,1941-07-07,1941,7,7,3
18,1942-02-15,1942,2,15,1
19,1943-07-26,1943,7,26,3
20,1944-01-20,1944,1,20,1
21,1944-07-16,1944,7,16,3
22,1944-09-05,1944,9,5,3
23,1944-12-22,1944,12,22,4
24,1944-12-26,1944,12,26,4
25,1945-01-05,1945,1,5,1
26,1945-03-25,1945,3,25,1
27,1945-04-30,1945,4,30,2
28,1946-01-04,1946,1,4,1
29,1946-05-09,1946,5,9,2
30,1946-05-15,1946,5,15,2
31,1946-06-03,1946,6,3,2
32,1946-06-07,1946,6,7,2
33,1946-06-09,1946,6,9,2
34,1946-06-30,1946,6,30,2
35,1946-11-03,1946,11,3,4
36,1946-11-08,1946,11,8,4
37,1946-11-15,1946,11,15,4
38,1946-11-25,1946,11,25,4
39,1946-12-17,1946,12,17,4
40,1946-12-27,1946,12,27,4
41,1947-01-01,1947,1,1,1
42,1947-05-07,1947,5,7,2
43,1947-07-25,1947,7,25,3
44,1947-09-06,1947,9,6,3
45,1947-09-30,1947,9,30,3
46,1947-10-13,1947,10,13,4
47,1947-11-06,1947,11,6,4
48,1947-11-13,1947,11,13,4
49,1947-11-18,1947,11,18,4
50,1947-12-04,1947,12,4,4
51,1947-12-08,1947,12,8,4
52,1947-12-27,1947,12,27,4
53,1948-01-01,1948,1,1,1
54,1948-02-16,1948,2,16,1
55,1948-02-28,1948,2,28,1
56,1948-04-01,1948,4,1,2
57,1948-04-03,1948,4,3,2
58,1948-04-21,1948,4,21,2
59,1948-05-10,1948,5,10,2
60,1948-06-01,1948,6,1,2
61,1948-06-08,1948,6,8,2
62,1948-06-20,1948,6,20,2
63,1948-06-25,1948,6,25,2
64,1948-06-28,1948,6,28,2
65,1948-07-10,1948,7,10,3
66,1948-08-10,1948,8,10,3
67,1948-08-11,1948,8,11,3
68,1948-08-18,1948,8,18,3
69,1948-09-06,1948,9,6,3
70,1948-09-16,1948,9,16,3
71,1948-09-18,1948,9,18,3
72,1948-09-26,1948,9,26,3
73,1948-09-27,1948,9,27,3
74,1948-10-01,1948,10,1,4
75,1948-10-03,1948,10,3,4
76,1948-10-14,1948,10,14,4
77,1948-10-17,1948,10,17,4
78,1948-10-22,1948,10,22,4
79,1948-10-23,1948,10,23,4
80,1948-11-07,1948,11,7,4
81,1948-11-17,1948,11,17,4
82,1948-11-20,1948,11,20,4
83,1948-11-21,1948,11,21,4
84,1948-11-25,1948,11,25,4
85,1948-11-26,1948,11,26,4
86,1948-11-27,1948,11,27,4
87,1948-12-08,1948,12,8,4
88,1948-12-09,1948,12,9,4
89,1948-12-17,1948,12,17,4
90,1948-12-24,1948,12,24,4
91,1949-01-03,1949,1,3,1
92,1949-01-06,1949,1,6,1
93,1949-01-10,1949,1,10,1
94,1949-01-12,1949,1,12,1
95,1949-01-16,1949,1,16,1
96,1949-01-21,1949,1,21,1
97,1949-01-25,1949,1,25,1
98,1949-01-28,1949,1,28,1
99,1949-02-18,1949,2,18,1
100,1949-02-21,1949,2,21,1
101,1949-02-27,1949,2,27,1
102,1949-03-01,1949,3,1,1
103,1949-03-04,1949,3,4,1
104,1949-03-08,1949,3,8,1
105,1949-03-10,1949,3,10,1
106,1949-03-18,1949,3,18,1
107,1949-03-22,1949,3,22,1
108,1949-03-23,1949,3,23,1
109,1949-03-28,1949,3,28,1
110,1949-04-05,1949,4,5,2
111,1949-04-11,1949,4,11,2
112,1949-04-27,1949,4,27,2
113,1949-05-05,1949,5,5,2
114,1949-05-08,1949,5,8,2
115,1949-05-16,1949,5,16,2
116,1949-05-22,1949,5,22,2
117,1949-05-23,1949,5,23,2
118,1949-05-24,1949,5,24,2
119,1949-05-29,1949,5,29,2
120,1949-06-04,1949,6,4,2
121,1949-06-24,1949,6,24,2
122,1949-07-01,1949,7,1,3
123,1949-07-15,1949,7,15,3
124,1949-07-25,1949,7,25,3
125,1949-07-30,1949,7,30,3
126,1949-08-01,1949,8,1,3
127,1949-09-01,1949,9,1,3
128,1949-09-04,1949,9,4,3
129,1949-09-05,1949,9,5,3
