network_name,network_id
HBO,1
Netflix,2
Antena 3,3
AMC,4
FOX,5
The CW,6
ABC,7
Disney+,8
CBS,9
BBC One,10
BBC Two,11
Prime Video,12
Adult Swim,13
TV Tokyo,14
NBC,15
The WB,16
History,17
YouTube Premium,18
Fuji TV,19
Gunma TV,20
Tokyo MX,21
BS11,22
Tokai Television Broadcasting,23
Kansai TV,24
Tochigi TV,25
Fukui TV,26
Hokkaido Cultural Broadcasting,27
Iwate Menkoi Television,28
Television Oita System,29
Sendai Television,30
SAGA TV,31
Ishikawa TV,32
Television Nishinippon,33
OHK,34
Kochi Sun Sun Broadcasting,35
Television Shin Hiroshima System,36
TV Shizuoka,37
UMK TV Miyazaki,38
NST,39
NBS,40
Sakuranbo TV,41
TSK,42
Ehime Broadcasting,43
KTS,44
Fukushima TV,45
NIB,46
AKT,47
Toyama Television,48
TV Kumamoto,49
Okinawa Television Broadcasting,50
MBS,51
NHK G,52
FX,53
Univision,54
Las Estrellas,55
Hulu,56
tv asahi,57
TBS,58
CBC,59
TV Aichi,60
TVQ,61
TV Osaka,62
Tulip Television,63
TVh,64
SBC,65
TSC,66
BSN,67
tys,68
Nagasaki Broadcasting Company,69
HBC,70
RKK Kumamoto Broadcasting,71
i-Television,72
SBS TV,73
IBC Iwate Broadcasting,74
Broadcasting System of San-in,75
Hokuriku Broadcasting,76
Oita Broadcasting System,77
TV-U Fukushima,78
RSK,79
TV-U Yamagata,80
Tohoku Broadcasting,81
RKB,82
TV Kochi Broadcasting,83
Ryukyu Broadcasting,84
TV Yamanashi,85
RCC,86
MRT Miyazaki Broadcasting,87
ATV,88
MBC South Japan Broadcasting,89
Nippon TV,90
YTV,91
USA Network,92
CBC Television,93
Channel 4,94
TF1,95
Comedy Central,96
MTV,97
Syfy,98
Showtime,99
Nickelodeon,100
Paramount+,101
Caracol TV,102
Freeform,103
RCN,104
Nagasaki Culture Telecasting Corporation,105
Lifetime,106
Telemundo,107
tvN,108
Disney Channel,109
Disney XD,110
DC Universe,111
HBO Max,112
Cartoon Network,113
ABC Family,114
Starz,115
FOX España,116
Apple TV+,117
Pantaya,118
ANIMAX,119
Paramount Network,120
AT-X,121
BS TV Tokyo,122
KBS2,123
VIU,124
tvk,125
CBS All Access,126
UPN,127
Blim,128
Yahoo! Screen,129
A&E,130
Azteca Uno,131
Fox Kids,132
WOWOW Prime,133
National Geographic,134
Atresplayer Premium,135
Syndication,136
KBS Kyoto,137
ABEMA,138
Max,139
TV Globo,140
ITV1,141
ESPN,142
BBC Three,143
Space,144
BBC America,145
E4,146
TNT,147
FXX,148
