number_of_seasons,number_of_episodes,episode_run_time,in_production,show_attributes_id
8,73,0,False,1
3,41,70,False,2
4,34,0,True,3
11,177,42,False,4
6,93,45,False,5
7,137,45,False,6
2,9,0,True,7
5,62,0,False,8
6,116,43,True,9
1,9,0,False,10
9,184,44,False,11
12,279,22,False,12
2,12,52,True,13
19,419,43,True,14
3,24,0,True,15
35,762,22,True,16
2,16,60,True,17
4,32,0,True,18
6,36,58,False,19
7,49,50,True,20
4,32,60,True,21
7,71,22,True,22
8,171,43,False,23
1,6,50,False,24
20,500,25,False,25
7,100,43,False,26
2,8,0,True,27
10,228,25,False,28
15,327,45,False,29
4,32,0,False,30
6,89,44,False,31
3,26,53,False,32
8,177,44,False,33
6,50,30,True,34
5,55,24,True,35
8,170,42,False,36
4,87,0,True,37
1,5,0,False,38
12,130,0,True,39
4,220,24,False,40
3,441,42,False,41
4,36,60,False,42
1,8,53,False,43
4,12,90,False,44
4,96,24,False,45
1,131,24,False,46
8,113,0,True,47
5,88,45,False,48
7,138,24,True,49
9,134,42,False,50
3,27,47,False,51
6,26,0,True,52
9,208,22,False,53
6,63,0,False,54
6,129,24,True,55
2,33,35,False,56
4,45,43,False,57
9,291,26,False,58
1,9,0,True,59
21,1080,24,True,60
3,39,52,False,61
6,126,42,False,62
7,151,22,False,63
22,411,22,True,64
4,49,57,False,65
26,321,22,True,66
1,7,0,False,67
6,100,0,False,68
10,216,43,False,69
3,24,42,True,70
2,12,45,True,71
4,93,45,False,72
1,9,34,True,73
8,96,55,False,74
6,118,0,False,75
1,37,22,False,76
3,61,25,False,77
9,186,0,False,78
16,334,42,True,79
1,10,0,True,80
24,538,43,True,81
7,151,43,False,82
3,39,42,False,83
1,113,45,False,84
2,9,41,True,85
2,12,65,True,86
2,36,60,False,87
7,136,43,False,88
3,24,24,True,89
2,20,43,False,90
3,36,42,False,91
5,100,43,False,92
1,335,39,False,93
5,92,45,False,94
1,10,60,False,95
2,52,130,False,96
12,246,40,False,97
1,6,0,False,98
6,49,10,True,99
8,152,21,False,100
6,122,45,False,101
8,134,22,True,102
12,262,30,False,103
10,218,43,False,104
3,35,0,True,105
1,2,90,False,106
1,47,24,True,107
1,153,25,False,108
5,40,45,True,109
4,30,60,True,110
2,16,21,False,111
8,699,0,True,112
4,68,43,False,113
14,578,11,True,114
11,218,45,False,115
4,340,50,False,116
13,153,80,True,117
5,71,42,False,118
7,92,45,False,119
1,16,77,False,120
2,40,22,False,121
3,30,57,False,122
4,49,0,False,123
10,279,11,False,124
5,56,50,True,125
7,161,41,False,126
6,73,0,False,127
