show_id,network_id
1,1
2,2
2,3
3,2
4,4
5,5
5,2
6,6
7,2
8,4
9,7
10,8
11,6
12,9
13,8
14,7
15,8
16,5
17,1
18,2
19,10
19,11
20,2
21,12
22,13
23,6
24,8
25,14
26,6
27,2
28,15
29,16
29,6
30,2
31,12
31,17
32,2
33,5
34,2
34,18
35,19
35,20
35,21
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,48
35,49
35,50
36,6
37,51
37,52
37,21
38,1
39,53
40,14
41,2
42,54
42,55
43,1
44,56
45,10
46,57
46,51
46,14
46,58
46,59
46,60
46,61
46,62
46,63
46,64
46,65
46,66
46,67
46,68
46,69
46,70
46,71
46,72
46,73
46,74
46,75
46,76
46,77
46,78
46,79
46,80
46,81
46,82
46,83
46,84
46,85
46,86
46,87
46,88
46,89
47,19
48,4
49,5
50,90
50,51
50,58
50,91
51,92
52,93
53,94
53,2
54,9
55,4
56,95
57,2
58,92
59,19
60,1
61,19
62,2
63,9
63,6
64,5
65,5
66,2
67,96
68,2
69,97
70,16
70,6
71,92
71,98
72,12
73,9
74,8
75,99
76,7
77,90
78,100
79,15
80,9
80,101
81,1
82,15
83,9
84,9
85,102
86,2
87,2
88,2
89,7
90,14
90,60
90,62
91,92
92,103
93,5
94,104
95,6
96,1
97,5
98,5
99,8
100,19
101,15
101,5
102,15
103,5
103,96
103,56
104,9
105,15
106,2
107,7
108,51
108,58
108,59
108,63
108,65
108,67
108,68
108,70
108,71
108,105
108,72
108,73
108,74
108,75
108,76
108,77
108,78
108,79
108,80
108,81
108,82
108,83
108,84
108,85
108,86
108,87
108,88
108,89
109,19
110,106
110,2
111,1
112,94
113,107
114,6
115,100
116,5
117,107
118,10
119,6
120,53
121,108
122,109
122,110
123,2
124,111
124,112
125,113
126,56
127,114
127,103
128,2
129,115
130,8
131,7
132,112
133,116
133,3
134,15
135,14
136,1
137,17
138,53
139,99
140,2
141,2
142,8
143,2
144,12
145,2
146,115
147,15
148,2
149,2
150,5
151,117
152,5
153,6
154,9
155,1
156,15
157,2
158,2
159,21
160,16
161,2
162,98
162,12
163,15
164,6
165,9
166,2
167,15
168,15
169,99
170,56
171,2
172,116
173,2
174,7
175,101
176,107
177,1
178,118
179,1
180,5
180,58
181,2
182,6
183,119
183,90
183,91
184,2
185,100
186,5
187,2
188,8
189,12
190,2
191,113
192,19
193,7
193,99
194,107
195,120
196,113
196,2
196,8
197,51
197,58
197,59
197,73
198,2
199,100
200,2
201,113
202,55
203,12
204,21
205,2
206,54
206,55
207,15
208,2
209,2
210,2
211,7
212,1
213,121
214,7
215,53
216,7
217,5
218,14
218,122
219,123
219,124
220,20
220,21
220,125
220,22
220,25
221,2
222,100
223,2
224,15
224,7
225,2
226,2
227,126
227,101
228,9
229,14
229,60
229,61
229,62
229,64
229,66
230,3
231,126
231,101
232,9
233,100
234,16
234,127
235,98
236,2
237,113
238,2
238,11
239,9
240,56
240,8
241,90
242,54
243,9
244,9
245,14
245,60
245,61
245,62
245,64
245,66
246,128
247,15
247,129
248,130
249,115
250,108
251,7
252,10
253,7
254,6
255,131
256,115
257,14
258,51
258,21
259,2
260,2
261,2
262,5
262,132
263,99
264,102
265,14
265,133
266,104
266,107
267,109
268,1
269,8
270,9
271,5
271,134
272,15
273,99
273,98
274,110
274,109
275,104
276,9
276,101
277,7
278,101
279,5
280,135
281,112
282,98
283,113
284,121
284,21
285,100
286,5
287,8
288,5
289,15
290,15
290,2
291,15
292,2
293,117
294,1
295,56
296,12
297,136
298,1
299,117
300,13
301,5
302,15
303,113
304,2
305,21
305,137
306,110
306,109
307,14
307,60
307,61
307,62
307,64
307,66
308,21
308,22
308,138
309,12
310,53
311,2
312,5
313,113
314,9
315,111
315,112
315,139
316,92
317,2
318,2
319,15
320,1
321,19
322,55
323,2
324,5
324,2
325,115
326,108
327,94
328,2
329,121
330,136
331,2
332,99
333,140
334,2
335,5
336,141
337,21
338,142
339,51
339,58
339,59
339,67
339,68
340,57
341,2
342,115
343,15
344,143
344,10
345,15
346,96
347,121
348,144
348,145
349,2
350,56
351,2
352,145
353,1
354,2
355,12
356,1
357,10
357,53
358,2
359,146
360,147
361,104
362,55
363,53
363,148
364,113
365,2
366,149
367,9
368,147
369,107
370,9
371,113
372,12
373,150
373,128
373,55
374,97
374,151
375,90
376,2
377,4
378,6
