date_id,full_date,year,month,day,quarter
20110417,2011-04-17,2011,4,17,2
20170502,2017-05-02,2017,5,2,2
20160715,2016-07-15,2016,7,15,3
20101031,2010-10-31,2010,10,31,4
20160125,2016-01-25,2016,1,25,1
20170126,2017-01-26,2017,1,26,1
20210917,2021-09-17,2021,9,17,3
20080120,2008-01-20,2008,1,20,1
20170925,2017-09-25,2017,9,25,3
20210115,2021-01-15,2021,1,15,1
20141007,2014-10-07,2014,10,7,4
20070924,2007-09-24,2007,9,24,3
20210609,2021-06-09,2021,6,9,2
20050327,2005-03-27,2005,3,27,1
20191112,2019-11-12,2019,11,12,4
19891217,1989-12-17,1989,12,17,4
20190616,2019-06-16,2019,6,16,2
20190215,2019-02-15,2019,2,15,1
20130912,2013-09-12,2013,9,12,3
20181005,2018-10-05,2018,10,5,4
20190725,2019-07-25,2019,7,25,3
20131202,2013-12-02,2013,12,2,4
20090910,2009-09-10,2009,9,10,3
20210319,2021-03-19,2021,3,19,1
20070215,2007-02-15,2007,2,15,1
20140319,2014-03-19,2014,3,19,1
20221123,2022-11-23,2022,11,23,4
19940922,1994-09-22,1994,9,22,3
20050913,2005-09-13,2005,9,13,3
20190111,2019-01-11,2019,1,11,1
20130303,2013-03-03,2013,3,3,1
20171201,2017-12-01,2017,12,1,4
20041116,2004-11-16,2004,11,16,4
20180502,2018-05-02,2018,5,2,2
20190406,2019-04-06,2019,4,6,2
20121010,2012-10-10,2012,10,10,4
20130407,2013-04-07,2013,4,7,2
20190506,2019-05-06,2019,5,6,2
20111005,2011-10-05,2011,10,5,4
20021003,2002-10-03,2002,10,3,4
20191220,2019-12-20,2019,12,20,4
20041004,2004-10-04,2004,10,4,4
20161002,2016-10-02,2016,10,2,4
20190320,2019-03-20,2019,3,20,1
20100725,2010-07-25,2010,7,25,3
20141005,2014-10-05,2014,10,5,4
20150705,2015-07-05,2015,7,5,3
20150823,2015-08-23,2015,8,23,3
20050829,2005-08-29,2005,8,29,3
20160403,2016-04-03,2016,4,3,2
20110623,2011-06-23,2011,6,23,2
20170319,2017-03-19,2017,3,19,1
20111204,2011-12-04,2011,12,4,4
20050919,2005-09-19,2005,9,19,3
20150208,2015-02-08,2015,2,8,1
20151019,2015-10-19,2015,10,19,4
20200715,2020-07-15,2020,7,15,3
20150624,2015-06-24,2015,6,24,2
19890426,1989-04-26,1989,4,26,2
20230115,2023-01-15,2023,1,15,1
19991020,1999-10-20,1999,10,20,4
20150410,2015-04-10,2015,4,10,2
20151026,2015-10-26,2015,10,26,4
20000109,2000-01-09,2000,1,9,1
19990131,1999-01-31,1999,1,31,1
20170331,2017-03-31,2017,3,31,1
19970813,1997-08-13,1997,8,13,3
20201023,2020-10-23,2020,10,23,4
20110605,2011-06-05,2011,6,5,2
20011016,2001-10-16,2001,10,16,4
20211012,2021-10-12,2021,10,12,4
20210325,2021-03-25,2021,3,25,1
20140922,2014-09-22,2014,9,22,3
20210811,2021-08-11,2021,8,11,3
20061001,2006-10-01,2006,10,1,4
20040922,2004-09-22,2004,9,22,3
20061004,2006-10-04,2006,10,4,4
20050221,2005-02-21,2005,2,21,1
20050324,2005-03-24,2005,3,24,1
20050922,2005-09-22,2005,9,22,3
20220821,2022-08-21,2022,8,21,3
19990920,1999-09-20,1999,9,20,3
20080923,2008-09-23,2008,9,23,3
20130624,2013-06-24,2013,6,24,2
20120528,2012-05-28,2012,5,28,2
