director_id,director_name
1,Richard Finn
2,Tim Maltby
3,Fernando Lebrija
4,Gabe Ibáñez
5,Rodrigo Toro
6,Francisco Schultz
7,Henrik Ruben Genz
8,José Miguel Contreras
9,Daniel Alfredson
10,Munjal Shroff
11,Tilak Shetty
12,Gaspar Noé
13,Tom O'Brien
14,Antoine Bardou-Jacquet
15,Mitch Dickman
16,Brad Anderson
17,Austin Stark
18,Hannah Fidell
19,Madeleine Gavin
20,Sopon Sukdapisit
21,Kevin R. Adams
22,Joe Ksander
23,Ian Samuels
24,Franck Ribière
25,Daniele Thompson
26,Anubhav Sinha
27,Maha Venkatesh
28,Tharun Bhascker
29,Şenol Sönmez
30,Tom Gianas
31,Ross R. Shuman
32,Rajkumar Hirani
33,Robert Osman
34,Nathanael Wiseman
35,Jon Spira
36,Mez Tharatorn
37,Adisorn Tresirikasem
38,Banjong Pisanthanakun
39,Paween Purikitpanya
40,Songyos Sugmakanan
41,Parkpoom Wongpoom
42,Visute Poolvoralaks
43,Chayanop Boonprakob
44,Susan Johnson
45,Lynn Shelton
46,Farhan Alam
47,Chad Archibald
48,Brian Baugh
49,A. L. Vijay
50,Ryan Coogler
51,Ben Palmer
52,Chris Howe
53,Ken Kwapis
54,Park In-je
55,Rod Blackhurst
56,Brian McGinn
57,Jesse V. Johnson
58,Mahsun Kırmızıgül
59,Monique Gardenberg
60,Mike Flanagan
61,Jacob LaMendola
62,Ritesh Batra
63,Dylan Howitt
64,William Lau
65,Mana Yasuda
66,Brian De Palma
67,Rizal Mantovani
68,Han Yan
69,Jeremy Saulnier
70,Kim A. Snyder
71,Raditya Dika
72,Rocky Soraya
73,Sunil Soraya
74,Álvaro Longoria
75,Gerardo Olivares
76,Brendan Byrne
77,Gupse Özay
78,Jim Mickle
79,Jumpei Mizusaki
80,Koji Morimoto
81,Michael Arias
82,Masaru Matsumoto
83,Arthell Isom
84,Henry Thurlow
85,Takanobu Mizuno
86,Elsa Nakamichi
87,Hajime Sasaki
88,Shinji Takagi
89,Chi Fat Chan
90,Nabil Ayouch
91,Rob LaDuca
92,Robert C. Ramirez
93,Mangesh Hadawale
94,Wong Kar Wai
95,Rob Cohen
96,Louis J. Horvitz
97,Linda Saffire
98,Adam Schlesinger
99,Luis Lopez
100,Clay Tweel
101,Otilia Portillo Padua
102,Le Van Kiet
103,Eric Summer
104,Éric Warin
105,B. V. Nandini Reddy
106,Mario Van Peebles
107,Ava DuVernay
108,Sonia Lowman
109,Benjamin Turner
110,Michael J. Bassett
111,Troy Miller
112,Tan Bing
113,Warren P. Sonoda
114,Álex de la Iglesia
115,Rahul Ravindran
116,Archie Borders
117,Bonni Cohen
118,Jon Shenk
119,Bobcat Goldthwait
120,Deepti Naval
121,Morgan Neville
122,Anthony Byrne
123,Chris Moukarbel
124,Ana Lily Amirpour
125,Alex Winter
126,Kemi Adetiba
127,Toka McBaror
128,Gilles Paquet-Brenner
129,Niyi Akinmolayan
130,Rashida Jones
131,Alan Hicks
132,Scott Aukerman
133,Mariano Barroso
134,Amara Cash
135,Kiko Cruz Claverol
136,Patricia Font
137,Bedran Güzel
138,Chun Wong
139,Coerte Voorhees
140,John Voorhees
141,Samuel D. Pollard
142,Ham Tran
143,Feng Xiaogang
144,Gary Michael Schultz
145,Liv Ullmann
146,Sandeep Reddy Vanga
147,Jacques Perrin
148,Jacques Cluzaud
149,Justin Benson
150,Aaron Moorhead
151,Michael Bonfiglio
152,Zack Whedon
153,Eric Stoltz
154,Conrad Helten
155,Teo Konuralp
156,Chris Perkel
157,Cheh Chang
158,Manny Rodriguez
159,Robert Eggers
160,Chuck Russell
161,John Erick Dowdle
162,Edgar Wright
163,Tony Elliott
164,Louis C.K.
165,Jeremy Coon
166,Tim Skousen
167,Orlando von Einsiedel
168,Tom Donahue
169,Michèle Ohayon
170,Timothy Woodward Jr.
171,Nia Dinata
172,Mark O'Connor
173,Ajithkumar
174,Lucky Kuswandi
175,Riri Riza
176,Vijay Milton
177,Susannah Heath-Eves
178,Santwana Bardoloi
179,Atanu Ghosh
