show_id,type,title,release_year,duration_numeric,date_id
81145628,Movie,Norm of the North: King Sized Adventure,2019,90,20190909.0
80117401,Movie,Jandino: Whatever it Takes,2016,94,20160909.0
70234439,TV Show,Transformers Prime,2013,1,20180908.0
80058654,TV Show,Transformers: Robots in Disguise,2016,1,20180908.0
80125979,Movie,#realityhigh,2017,99,20170908.0
80163890,TV Show,Apaches,2016,1,20170908.0
70304989,Movie,Automata,2014,110,20170908.0
80164077,Movie,Fabrizio Copano: Solo pienso en mi,2017,60,20170908.0
80117902,TV Show,Fire Chasers,2017,1,20170908.0
70304990,Movie,Good People,2014,90,20170908.0
80169755,Movie,Joaquín Reyes: Una y no más,2017,78,20170908.0
70299204,Movie,Kidnapping Mr. Heineken,2015,95,20170908.0
80182480,Movie,Krish Trish and Baltiboy,2009,58,20170908.0
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,2013,62,20170908.0
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,2016,65,20170908.0
80182482,Movie,Krish Trish and Baltiboy: Comics of India,2012,61,20170908.0
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,2017,65,20170908.0
80182481,Movie,Krish Trish and Baltiboy: Part II,2010,58,20170908.0
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,2013,60,20170908.0
80057969,Movie,Love,2015,135,20170908.0
80060297,Movie,Manhattan Romance,2014,98,20170908.0
80046728,Movie,Moonwalkers,2015,96,20170908.0
80046727,Movie,Rolling Papers,2015,79,20170908.0
70304988,Movie,Stonehearst Asylum,2014,113,20170908.0
80057700,Movie,The Runner,2015,90,20170908.0
80045922,Movie,6 Years,2015,80,20150908.0
80244601,TV Show,Castle of Stars,2015,1,20180907.0
80203094,Movie,City of Joy,2018,77,20180907.0
80190843,TV Show,First and Last,2018,1,20180907.0
70241607,Movie,Laddaland,2011,112,20180907.0
80988892,Movie,Next Gen,2018,106,20180907.0
80239639,Movie,Sierra Burgess Is A Loser,2018,106,20180907.0
80159586,Movie,The Most Assassinated Woman in the World,2018,102,20180907.0
80152447,Movie,Cézanne et moi,2016,114,20170907.0
80221550,TV Show,Archibald's Next Big Thing,2019,1,20190906.0
81154455,Movie,Article 15,2019,125,20190906.0
81113928,Movie,Care of Kancharapalem,2018,142,20190906.0
81052275,Movie,Ee Nagaraniki Emaindi,2018,133,20190906.0
81132437,Movie,Kill Me If You Dare,2019,100,20190906.0
80178151,TV Show,The Spy,2019,1,20190906.0
80058026,Movie,Hell and Back,2015,86,20180906.0
70303496,Movie,PK,2014,146,20180906.0
80162141,Movie,Hard Tide,2015,79,20170906.0
80095641,Movie,Elstree 1976,2015,102,20160906.0
81176188,Movie,American Factory: A Conversation with the Obamas,2019,10,20190905.0
80159880,Movie,ATM,2012,122,20180905.0
81016044,Movie,Bangkok Traffic (Love) Story,2009,126,20180905.0
80158838,Movie,I Fine... Thank You... Love You,2014,116,20180905.0
81016045,Movie,One Day,2016,135,20180905.0
70142798,Movie,Phobia 2,2009,125,20180905.0
70062814,Movie,Shutter,2004,96,20180905.0
80158839,Movie,Suckseed,2011,130,20180905.0
80147760,Movie,Carrie Pilby,2016,98,20170905.0
80177405,Movie,Marc Maron: Too Real,2017,70,20170905.0
80113482,TV Show,No Tomorrow,2016,1,20170905.0
81160036,Movie,Saawan,2016,128,20190904.0
81173255,Movie,The Heretics,2017,88,20190904.0
81078908,Movie,The World We Make,2019,108,20190904.0
81155784,Movie,Watchman,2019,93,20190904.0
80201906,Movie,Black Panther,2018,135,20180904.0
80052612,Movie,Man Up,2015,88,20180904.0
80113641,TV Show,Frequency,2016,1,20170904.0
81054495,Movie,Mo Gilligan: Momentum,2019,64,20190930.0
80996949,TV Show,Adam Ruins Everything,2018,1,20180930.0
80239337,TV Show,Ben 10,2016,1,20180930.0
70212504,Movie,Big Miracle,2012,107,20180930.0
81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,2018,1,20180930.0
80128317,TV Show,The Eighties,2016,1,20180930.0
81027384,TV Show,The Nineties,2017,1,20180930.0
80030186,TV Show,The Seventies,2015,1,20180930.0
80116921,TV Show,We Bare Bears,2017,1,20180930.0
80187061,Movie,The Mayor,2017,130,20170930.0
80181555,TV Show,The Royal House of Windsor,2017,1,20170930.0
80081155,Movie,Amanda Knox,2016,92,20160930.0
80184358,TV Show,Lovesick,2014,1,20180903.0
80198585,Movie,The Debt Collector,2018,96,20180903.0
70233894,Movie,Act of Vengeance,2010,112,20180929.0
81011955,Movie,Paradise Lost,2018,111,20180929.0
80128722,Movie,Gerald's Game,2017,103,20170929.0
80182115,Movie,Long Shot,2017,40,20170929.0
80163293,TV Show,Mak Cun,2015,1,20170929.0
80104068,Movie,Our Souls at Night,2017,103,20170929.0
80119349,Movie,Out of Thin Air,2017,85,20170929.0
80199032,TV Show,Paul Hollywood's Big Continental Road Trip,2017,1,20170929.0
80180449,TV Show,Satu Hari,2014,1,20170929.0
80019931,Movie,"Monster High: Boo York, Boo York",2015,72,20150929.0
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2019,45,20190928.0
80200087,Movie,Domino,2019,89,20190928.0
81053892,Movie,TUNA GIRL,2019,90,20190928.0
81002850,Movie,5CM,2012,126,20180928.0
81004470,Movie,Animal World,2018,130,20180928.0
80157072,Movie,Hold the Dark,2018,126,20180928.0
81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,2018,24,20180928.0
80201933,TV Show,Made in Mexico,2018,1,20180928.0
81002864,Movie,Single,2015,127,20180928.0
81016750,Movie,The 3rd Eye,2018,108,20180928.0
81002866,Movie,The Sinking Of Van Der Wijck,2013,163,20180928.0
80992039,Movie,Two Catalonias,2018,117,20180928.0
80126507,Movie,Bobby Sands: 66 Days,2016,106,20170928.0
80225885,TV Show,Bard of Blood,2019,1,20190927.0
81132443,Movie,Deliha 2,2018,102,20190927.0
80218107,TV Show,Dragons: Rescue Riders,2019,1,20190927.0
80231903,Movie,In the Shadow of the Moon,2019,116,20190927.0
80220715,TV Show,Skylines,2019,1,20190927.0
81171121,Movie,Sturgill Simpson Presents Sound & Fury,2019,42,20190927.0
80241248,TV Show,The Politician,2019,1,20190927.0
81012295,Movie,Weeds on Fire,2016,95,20180927.0
80060037,Movie,Much Loved,2015,104,20170927.0
60003155,Movie,Joseph: King of Dreams,2000,75,20110927.0
81177238,Movie,Malaal,2019,133,20190926.0
70270775,Movie,The Grandmaster,2013,108,20190926.0
81025403,TV Show,The Inmate,2018,1,20190926.0
80215923,Movie,The Hurricane Heist,2018,103,20180926.0
80151483,Movie,Def Comedy Jam 25,2017,82,20170926.0
80173625,Movie,Restless Creature: Wendy Whelan,2016,94,20170926.0
80005444,Movie,Print the Legend,2014,100,20140926.0
80244682,Movie,Birders,2019,38,20190925.0
81075519,Movie,Furie,2019,97,20190925.0
80166318,Movie,Leap!,2016,89,20190925.0
81186758,Movie,Oh! Baby (Malayalam),2019,146,20190925.0
81186757,Movie,Oh! Baby (Tamil),2019,146,20190925.0
80108976,Movie,USS Indianapolis: Men of Courage,2016,130,20190925.0
80208155,Movie,A Wrinkle in Time,2018,110,20180925.0
80198423,Movie,Teach Us All,2017,81,20170925.0
80162144,Movie,White Island,2016,91,20170925.0
81053953,Movie,Inside Man: Most Wanted,2019,106,20190924.0
81074113,Movie,Jeff Dunham: Beside Himself,2019,58,20190924.0
80992496,Movie,China Salesman,2017,111,20180924.0
70304191,Movie,Swearnet: The Movie,2014,112,20170924.0
80103311,Movie,The Bar,2017,102,20170924.0
81176200,Movie,Manmadhudu 2,2019,152,20190923.0
80238106,TV Show,Team Kaylie,2019,1,20190923.0
80208906,Movie,Under the Eiffel Tower,2018,87,20190923.0
80097321,Movie,Audrie & Daisy,2016,99,20160923.0
